Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
FN1_14084_TAGCTT_rea_1P	3.865516986136555	41.0	92.5338645239594	92	9.090909090909092	36556619.0
FN1_14084_TAGCTT_rea_2P	7.290083226289184	41.0	117.80346732831065	124	0.0	36556619.0
FN2_14085_GGCTAC_rea_1P	3.9632611842325076	40.0	92.61408661779251	92	18.181818181818183	35886045.0
FN2_14085_GGCTAC_rea_2P	7.345896265199002	41.0	117.38520073750117	124	0.0	35886045.0
FN3_14086_CTTGTA_rea_1P	4.116874186240963	41.0	93.1442925010126	92	18.181818181818183	34888057.0
FN3_14086_CTTGTA_rea_2P	7.877067412604092	41.0	118.25694185262309	124	9.090909090909092	34888057.0
FN4_14087_GTGAAA_rea_1P	3.9214794674635414	40.0	92.92289817018843	92	9.090909090909092	38858974.0
FN4_14087_GTGAAA_rea_2P	7.591299064004957	41.0	118.39204714977807	124	0.0	38858974.0
FW1_14080_ATCACG_rea_1P	3.328008761082984	43.0	91.64843088253198	90	9.090909090909092	31270221.0
FW1_14080_ATCACG_rea_2P	6.9337703182821	43.0	117.57624866162602	124	0.0	31270221.0
FW2_14081_ACAGTG_rea_1P	3.801778053220417	40.0	92.96388381253914	92	9.090909090909092	32507501.0
FW2_14081_ACAGTG_rea_2P	7.378818032584107	40.0	117.78433254527931	124	0.0	32507501.0
FW3_14082_GCCAAT_rea_1P	3.368968478391011	41.0	91.79970232124931	90	9.090909090909092	31599837.0
FW3_14082_GCCAAT_rea_2P	6.839778203530329	41.0	117.01877879939697	124	0.0	31599837.0
FW4_14083_ACTTGA_rea_1P	3.207019225264972	43.0	91.24209340049303	90	18.181818181818183	31767070.0
FW4_14083_ACTTGA_rea_2P	6.444112655558186	44.0	116.58838400897532	124	9.090909090909092	31767070.0
