#Duplication rate	Coverage
1.0	3.8329689E7
2.0	6627287.0
3.0	1249121.0
4.0	351721.0
5.0	150305.0
6.0	89977.0
7.0	58776.0
8.0	42205.0
9.0	30710.0
10.0	23333.0
11.0	17707.0
12.0	14149.0
13.0	11499.0
14.0	9056.0
15.0	7554.0
16.0	6097.0
17.0	5080.0
18.0	4203.0
19.0	3440.0
20.0	2982.0
21.0	2517.0
22.0	2152.0
23.0	1893.0
24.0	1539.0
25.0	1345.0
26.0	1159.0
27.0	975.0
28.0	802.0
29.0	719.0
30.0	670.0
31.0	547.0
32.0	476.0
33.0	418.0
34.0	379.0
35.0	359.0
36.0	292.0
37.0	271.0
38.0	253.0
39.0	222.0
40.0	200.0
41.0	228.0
42.0	166.0
43.0	159.0
44.0	163.0
45.0	133.0
46.0	120.0
47.0	118.0
48.0	91.0
49.0	94.0
50.0	2294.0
