#Coverage (X)	Coverage
1.0	89.1940402642544
2.0	85.54432579111707
3.0	82.34195687207843
4.0	79.4332816461182
5.0	76.66455816910931
6.0	74.01825210576986
7.0	71.46213289121715
8.0	68.98798767786678
9.0	66.58225261654434
10.0	64.24711246649872
11.0	61.979989940286124
12.0	59.77771554346773
13.0	57.64368121396645
14.0	55.574904127752674
15.0	53.56119546266675
16.0	51.60357442613443
17.0	49.69509486263359
18.0	47.82376531223789
19.0	45.98626863527199
20.0	44.17010116641851
21.0	42.377402785977814
22.0	40.59346653242658
23.0	38.81597593655821
24.0	37.03575845675085
25.0	35.25348727723272
26.0	33.46393269965883
27.0	31.66658577073585
28.0	29.866605618288247
29.0	28.065613413029894
30.0	26.271281503903978
31.0	24.490283195433832
32.0	22.733100323783745
33.0	21.006991245857023
34.0	19.328009942053
35.0	17.705250578438438
36.0	16.15404777139679
37.0	14.678824373828505
38.0	13.290885327831049
39.0	11.997822005114358
40.0	10.800381087315145
41.0	9.703215025432968
42.0	8.70731115633589
43.0	7.808382239598416
44.0	7.004591490427785
45.0	6.2899804153797305
46.0	5.658721255338364
47.0	5.104641854039144
48.0	4.619126754199826
49.0	4.196177461574166
50.0	3.8278637358697125
51.0	3.5067922581277315
