#Insert size (bp)	insert size
2.0	1049.0
3.0	1033.0
4.0	996.0
5.0	1007.0
6.0	1039.0
7.0	1020.0
8.0	1102.0
9.0	1062.0
10.0	1067.0
11.0	1120.0
12.0	1130.0
13.0	1110.0
14.0	1232.0
15.0	1221.0
16.0	1272.0
17.0	1313.0
18.0	1376.0
19.0	90419.0
20.0	46719.0
21.0	20840.0
22.0	10645.0
23.0	6353.0
24.0	4149.0
25.0	3854.0
26.0	3612.0
27.0	3085.0
28.0	2921.0
29.0	2911.0
30.0	2934.0
31.0	2959.0
32.0	2983.0
33.0	2964.0
34.0	2799.0
35.0	3342.0
36.0	3143.0
37.0	2995.0
38.0	3235.0
39.0	3214.0
40.0	3426.0
41.0	3333.0
42.0	3180.0
43.0	3152.0
44.0	3524.0
45.0	3478.0
46.0	3290.0
47.0	3599.0
48.0	3653.0
49.0	3581.0
50.0	3869.0
51.0	3999.0
52.0	3700.0
53.0	3984.0
54.0	3803.0
55.0	4074.0
56.0	4248.0
57.0	4669.0
58.0	4217.0
59.0	4246.0
60.0	4359.0
61.0	4270.0
62.0	4493.0
63.0	4472.0
64.0	4672.0
65.0	4805.0
66.0	4899.0
67.0	5605.0
68.0	5426.0
69.0	5606.0
70.0	5778.0
71.0	6129.0
72.0	5937.0
73.0	6070.0
74.0	6256.0
75.0	6493.0
76.0	6369.0
77.0	6585.0
78.0	6350.0
79.0	6620.0
80.0	6946.0
81.0	6865.0
82.0	7056.0
83.0	7097.0
84.0	7326.0
85.0	7186.0
86.0	7188.0
87.0	7462.0
88.0	7724.0
89.0	7830.0
90.0	7856.0
91.0	8129.0
92.0	8244.0
93.0	8119.0
94.0	8170.0
95.0	8472.0
96.0	8783.0
97.0	8839.0
98.0	9153.0
99.0	9244.0
100.0	9359.0
101.0	9719.0
102.0	9901.0
103.0	9818.0
104.0	10314.0
105.0	10606.0
106.0	10576.0
107.0	10988.0
108.0	11106.0
109.0	11384.0
110.0	11524.0
111.0	11855.0
112.0	12301.0
113.0	12999.0
114.0	13524.0
115.0	14361.0
116.0	15475.0
117.0	17311.0
118.0	36193.0
119.0	37908.0
120.0	39018.0
121.0	40098.0
122.0	41321.0
123.0	41735.0
124.0	42838.0
125.0	43752.0
126.0	44432.0
127.0	45792.0
128.0	46802.0
129.0	48392.0
130.0	48796.0
131.0	50159.0
132.0	51514.0
133.0	52049.0
134.0	53396.0
135.0	53995.0
136.0	54623.0
137.0	55839.0
138.0	56796.0
139.0	57656.0
140.0	59115.0
141.0	60325.0
142.0	61557.0
143.0	62336.0
144.0	63011.0
145.0	64019.0
146.0	64885.0
147.0	65424.0
148.0	65396.0
149.0	67010.0
150.0	67716.0
151.0	67976.0
152.0	69056.0
153.0	69919.0
154.0	70389.0
155.0	71046.0
156.0	71290.0
157.0	71710.0
158.0	72471.0
159.0	72517.0
160.0	72675.0
161.0	73323.0
162.0	73324.0
163.0	74351.0
164.0	74128.0
165.0	74424.0
166.0	74861.0
167.0	74962.0
168.0	75122.0
169.0	74672.0
170.0	75577.0
171.0	74964.0
172.0	75161.0
173.0	74875.0
174.0	74293.0
175.0	74574.0
176.0	75027.0
177.0	75840.0
178.0	75305.0
179.0	75985.0
180.0	75820.0
181.0	75743.0
182.0	76506.0
183.0	76357.0
184.0	76292.0
185.0	75631.0
186.0	75321.0
187.0	75230.0
188.0	75432.0
189.0	75298.0
190.0	74136.0
191.0	74510.0
192.0	73494.0
193.0	73527.0
194.0	73164.0
195.0	72626.0
196.0	72175.0
197.0	72097.0
198.0	71601.0
199.0	71206.0
200.0	70915.0
201.0	70352.0
202.0	70002.0
203.0	69504.0
204.0	69306.0
205.0	68875.0
206.0	68536.0
207.0	67751.0
208.0	67910.0
209.0	67129.0
210.0	66604.0
211.0	66466.0
212.0	65573.0
213.0	64946.0
214.0	64802.0
215.0	64676.0
216.0	63827.0
217.0	63879.0
218.0	63279.0
219.0	62825.0
220.0	62571.0
221.0	61719.0
222.0	61432.0
223.0	61418.0
224.0	60588.0
225.0	60187.0
226.0	60016.0
227.0	59708.0
228.0	59031.0
229.0	58566.0
230.0	58014.0
231.0	57858.0
232.0	57045.0
233.0	57038.0
234.0	56631.0
235.0	55952.0
236.0	55871.0
237.0	55352.0
238.0	54450.0
239.0	54379.0
240.0	54361.0
241.0	53793.0
242.0	53308.0
243.0	52971.0
244.0	52477.0
245.0	51915.0
246.0	51568.0
247.0	51235.0
248.0	51030.0
249.0	50726.0
250.0	50642.0
251.0	50346.0
252.0	50157.0
253.0	49622.0
254.0	49441.0
255.0	48710.0
256.0	48864.0
257.0	48072.0
258.0	47764.0
259.0	47941.0
260.0	47060.0
261.0	47242.0
262.0	47106.0
263.0	46626.0
264.0	46478.0
265.0	45737.0
266.0	45477.0
267.0	45726.0
268.0	45057.0
269.0	45398.0
270.0	44293.0
271.0	44462.0
272.0	43621.0
273.0	43646.0
274.0	43659.0
275.0	43168.0
276.0	43139.0
277.0	42721.0
278.0	42821.0
279.0	42589.0
280.0	41872.0
281.0	41993.0
282.0	41135.0
283.0	41542.0
284.0	41376.0
285.0	40706.0
286.0	40369.0
287.0	40470.0
288.0	40153.0
289.0	40104.0
290.0	40058.0
291.0	39632.0
292.0	39593.0
293.0	39272.0
294.0	39342.0
295.0	38866.0
296.0	38695.0
297.0	38467.0
298.0	38418.0
299.0	38249.0
300.0	37838.0
301.0	37465.0
302.0	37533.0
303.0	37596.0
304.0	37080.0
305.0	37176.0
306.0	37053.0
307.0	36257.0
308.0	36183.0
309.0	36467.0
310.0	35913.0
311.0	36271.0
312.0	35607.0
313.0	35535.0
314.0	35537.0
315.0	35338.0
316.0	35357.0
317.0	34738.0
318.0	35198.0
319.0	34405.0
320.0	34523.0
321.0	34133.0
322.0	34322.0
323.0	34275.0
324.0	33835.0
325.0	33812.0
326.0	33824.0
327.0	33659.0
328.0	33542.0
329.0	33142.0
330.0	33275.0
331.0	32985.0
332.0	32939.0
333.0	33135.0
334.0	32605.0
335.0	32758.0
336.0	32417.0
337.0	32561.0
338.0	32103.0
339.0	31842.0
