#GC Content (%)	Sample
1.0	6.524836300013278E-7
2.0	1.6312090750033196E-7
3.0	1.6312090750033195E-6
4.0	1.1418463525023238E-6
5.0	1.3049672600026557E-6
6.0	1.1418463525023238E-6
7.0	1.6312090750033197E-6
8.0	2.44681361250498E-6
9.0	4.7305063175096265E-6
10.0	7.666682652515602E-6
11.0	1.3049672600026557E-5
12.0	3.16454560550644E-5
13.0	5.0404360417602576E-5
14.0	1.0080872083520515E-4
15.0	1.760074591928582E-4
16.0	2.9443323803809914E-4
17.0	4.79575468050976E-4
18.0	7.678101116040625E-4
19.0	0.0011416832315948233
20.0	0.0016990673725234575
21.0	0.0024649200332375163
22.0	0.0033087444877367336
23.0	0.004365604847431384
24.0	0.005605160623526406
25.0	0.007874009325948525
26.0	0.007806640391150888
27.0	0.010452950873528771
28.0	0.012400451388175233
29.0	0.014744335708047505
30.0	0.017378901485085363
31.0	0.020391581525709
32.0	0.023730340260425795
33.0	0.02727740439402051
34.0	0.03119377426219598
35.0	0.03490330681966103
36.0	0.03876307373293388
37.0	0.042830656682362155
38.0	0.04610889756039633
39.0	0.04928991837756031
40.0	0.05132974532585196
41.0	0.05235169781134154
42.0	0.05221598121630126
43.0	0.05131310699328692
44.0	0.049814678336988875
45.0	0.0476657235015795
46.0	0.04460639088141077
47.0	0.04120613556456636
48.0	0.03731684376703594
49.0	0.032873267125819394
50.0	0.028567690772348137
51.0	0.026369799664688665
52.0	0.018103973918924342
53.0	0.016401644128250875
54.0	0.012620012129670682
55.0	0.009561005751316957
56.0	0.006977659939234199
57.0	0.005006833134815188
58.0	0.0034493547100020194
59.0	0.0023120757429097053
60.0	0.0015282797823706101
61.0	0.001019668792784575
62.0	6.244268339112706E-4
63.0	4.066604223983275E-4
64.0	2.6278778198303475E-4
65.0	1.4599321221279708E-4
66.0	9.428388453519187E-5
67.0	6.524836300013277E-5
68.0	3.817029235507768E-5
69.0	2.6099345200053115E-5
70.0	2.0553234345041827E-5
71.0	9.787254450019917E-6
72.0	6.687957207513612E-6
73.0	3.0992972425063072E-6
74.0	3.099297242506307E-6
75.0	3.7517808725076348E-6
76.0	8.156045375016598E-7
77.0	1.6312090750033196E-7
78.0	0.0
79.0	0.0
80.0	6.524836300013278E-7
81.0	0.0
82.0	1.6312090750033196E-7
83.0	0.0
84.0	1.6312090750033196E-7
85.0	0.0
86.0	1.6312090750033196E-7
87.0	0.0
88.0	0.0
89.0	1.6312090750033196E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	1.6312090750033196E-7
98.0	0.0
99.0	1.6312090750033196E-7
100.0	7.5035617450152695E-6
