#Mapping quality	mapping quality
0.0	1.4392123E7
1.0	2203794.0
2.0	2011509.0
3.0	2154239.0
4.0	1926748.0
5.0	1846056.0
6.0	1889133.0
7.0	1717101.0
8.0	1686040.0
9.0	1787511.0
10.0	1651778.0
11.0	1502497.0
12.0	1594874.0
13.0	1806734.0
14.0	1425649.0
15.0	1621645.0
16.0	1542292.0
17.0	1467186.0
18.0	1550120.0
19.0	1506324.0
20.0	1902491.0
21.0	1675608.0
22.0	1564421.0
23.0	1573570.0
24.0	1701173.0
25.0	1657927.0
26.0	1693207.0
27.0	1833928.0
28.0	1607915.0
29.0	1647839.0
30.0	1913525.0
31.0	1722398.0
32.0	1710494.0
33.0	1903769.0
34.0	1733332.0
35.0	1776263.0
36.0	1888801.0
37.0	1864188.0
38.0	1850829.0
39.0	2029848.0
40.0	3283106.0
41.0	2017434.0
42.0	2133502.0
43.0	2172425.0
44.0	2226963.0
45.0	2434103.0
46.0	2493622.0
47.0	2463182.0
48.0	2726055.0
49.0	2778691.0
50.0	3118179.0
51.0	3141026.0
52.0	3381807.0
53.0	3709683.0
54.0	4035578.0
55.0	4582488.0
56.0	5328425.0
57.0	6540274.0
58.0	8880278.0
59.0	1.3122243E7
60.0	1.11162232E8
