#Coverage	Number of genomic locations
0.0	3.0685662E7
1.0	1.1424494E7
2.0	9839688.0
3.0	8856205.0
4.0	8371907.0
5.0	8004319.0
6.0	7731438.0
7.0	7515174.0
8.0	7338852.0
9.0	7159414.0
10.0	6987471.0
11.0	6846871.0
12.0	6678124.0
13.0	6505301.0
14.0	6349422.0
15.0	6178756.0
16.0	6019570.0
17.0	5862296.0
18.0	5711718.0
19.0	5564641.0
20.0	5443380.0
21.0	5321356.0
22.0	5214462.0
23.0	5128929.0
24.0	5059263.0
25.0	4994467.0
26.0	4948682.0
27.0	4895292.0
28.0	4859717.0
29.0	4828948.0
30.0	4794845.0
31.0	4761636.0
32.0	4711703.0
33.0	4643609.0
34.0	4574145.0
35.0	4488241.0
36.0	4373203.0
37.0	4242254.0
38.0	4082323.0
39.0	3905765.0
40.0	3709064.0
41.0	3485428.0
42.0	3259988.0
43.0	3032527.0
44.0	2787699.0
45.0	2547984.0
46.0	2309653.0
47.0	2086446.0
48.0	1871306.0
49.0	1661047.0
50.0	1472413.0
51.0	1302745.0
52.0	1144031.0
53.0	1004048.0
54.0	880572.0
55.0	775401.0
56.0	681373.0
57.0	599867.0
58.0	529164.0
59.0	469872.0
60.0	416332.0
61.0	377388.0
62.0	340044.0
63.0	309498.0
64.0	281581.0
65.0	258636.0
66.0	238213.0
67.0	220012.0
68.0	204548.0
69.0	191443.0
70.0	178968.0
71.0	168367.0
72.0	159118.0
73.0	150037.0
74.0	141638.0
75.0	133980.0
76.0	125816.0
77.0	119001.0
78.0	112249.0
79.0	106314.0
80.0	101078.0
81.0	95734.0
82.0	90389.0
83.0	85961.0
84.0	80483.0
85.0	76045.0
86.0	71961.0
87.0	69414.0
88.0	66481.0
89.0	63141.0
90.0	61045.0
91.0	58129.0
92.0	55430.0
93.0	52621.0
94.0	50675.0
95.0	48489.0
96.0	46724.0
97.0	44618.0
98.0	42183.0
99.0	40354.0
100.0	38397.0
101.0	37057.0
102.0	35862.0
103.0	34314.0
104.0	33116.0
105.0	31016.0
106.0	30029.0
107.0	29011.0
108.0	27860.0
109.0	26713.0
110.0	26067.0
111.0	25408.0
112.0	24302.0
113.0	23133.0
114.0	22328.0
115.0	21408.0
116.0	20579.0
117.0	20104.0
118.0	19390.0
119.0	18973.0
120.0	18339.0
121.0	17588.0
122.0	16895.0
123.0	16197.0
124.0	15734.0
125.0	15400.0
126.0	15019.0
127.0	14468.0
128.0	14042.0
129.0	13653.0
130.0	13316.0
131.0	12733.0
132.0	12429.0
133.0	11898.0
134.0	11548.0
135.0	11127.0
136.0	11161.0
137.0	10570.0
138.0	10500.0
139.0	10042.0
140.0	9930.0
141.0	9511.0
142.0	8972.0
143.0	9042.0
144.0	8665.0
145.0	8381.0
146.0	8293.0
147.0	8165.0
148.0	8209.0
149.0	7901.0
150.0	7727.0
151.0	7319.0
152.0	6934.0
153.0	6846.0
154.0	6610.0
155.0	6446.0
156.0	6144.0
157.0	6122.0
158.0	6056.0
159.0	5938.0
160.0	5799.0
161.0	5541.0
162.0	5377.0
163.0	5334.0
164.0	5389.0
165.0	5175.0
166.0	5089.0
167.0	5009.0
168.0	4832.0
169.0	4925.0
170.0	4630.0
171.0	4709.0
172.0	4588.0
173.0	4433.0
174.0	4503.0
175.0	4319.0
176.0	4269.0
177.0	4194.0
178.0	4131.0
179.0	3884.0
180.0	3898.0
181.0	3958.0
182.0	3760.0
183.0	3882.0
184.0	3688.0
185.0	3644.0
186.0	3607.0
187.0	3428.0
188.0	3398.0
189.0	3324.0
190.0	3288.0
191.0	3165.0
192.0	3114.0
193.0	3154.0
194.0	3153.0
195.0	3142.0
196.0	3065.0
197.0	2779.0
198.0	2751.0
199.0	2819.0
200.0	2716.0
201.0	2572.0
202.0	2542.0
203.0	2547.0
204.0	2650.0
205.0	2626.0
206.0	2439.0
207.0	2414.0
208.0	2417.0
209.0	2357.0
210.0	2280.0
211.0	2103.0
212.0	2129.0
213.0	2247.0
214.0	2163.0
215.0	2111.0
216.0	2115.0
217.0	1999.0
218.0	2103.0
219.0	2003.0
220.0	2001.0
221.0	1931.0
222.0	1837.0
223.0	1794.0
224.0	1835.0
225.0	1753.0
226.0	1661.0
227.0	1683.0
228.0	1701.0
229.0	1715.0
230.0	1677.0
231.0	1733.0
232.0	1668.0
233.0	1640.0
234.0	1628.0
235.0	1610.0
236.0	1518.0
237.0	1640.0
238.0	1529.0
239.0	1509.0
240.0	1521.0
241.0	1510.0
242.0	1481.0
243.0	1426.0
244.0	1456.0
245.0	1454.0
246.0	1443.0
247.0	1384.0
248.0	1429.0
249.0	1305.0
250.0	1306.0
251.0	1260.0
252.0	1283.0
253.0	1345.0
254.0	1292.0
255.0	1186.0
256.0	1243.0
257.0	1194.0
258.0	1200.0
259.0	1214.0
260.0	1217.0
261.0	1170.0
262.0	1198.0
263.0	1141.0
264.0	1187.0
265.0	1230.0
266.0	1184.0
267.0	1234.0
268.0	1179.0
269.0	1156.0
270.0	1201.0
271.0	1205.0
272.0	1179.0
273.0	1154.0
274.0	1117.0
275.0	1139.0
276.0	1151.0
277.0	1126.0
278.0	1138.0
279.0	1071.0
280.0	1192.0
281.0	1200.0
282.0	1111.0
283.0	1116.0
284.0	1145.0
285.0	1142.0
286.0	1126.0
287.0	1141.0
288.0	1033.0
289.0	1029.0
290.0	1043.0
291.0	1113.0
292.0	1038.0
293.0	1050.0
294.0	1075.0
295.0	1029.0
296.0	1038.0
297.0	1030.0
298.0	1035.0
299.0	1090.0
300.0	1028.0
301.0	1043.0
302.0	1026.0
303.0	978.0
304.0	1056.0
305.0	1058.0
306.0	1005.0
307.0	953.0
308.0	1020.0
309.0	1006.0
310.0	1066.0
311.0	1059.0
312.0	968.0
313.0	1004.0
314.0	993.0
315.0	940.0
316.0	929.0
317.0	926.0
318.0	912.0
319.0	920.0
320.0	882.0
321.0	893.0
322.0	839.0
323.0	901.0
324.0	954.0
325.0	902.0
326.0	837.0
327.0	957.0
328.0	812.0
329.0	890.0
330.0	760.0
331.0	768.0
332.0	784.0
333.0	784.0
334.0	803.0
335.0	763.0
336.0	746.0
337.0	736.0
338.0	748.0
339.0	779.0
340.0	769.0
