#Duplication rate	Coverage
1.0	3.9673974E7
2.0	7142657.0
3.0	1383480.0
4.0	377499.0
5.0	155445.0
6.0	89506.0
7.0	57882.0
8.0	41078.0
9.0	29716.0
10.0	22886.0
11.0	17726.0
12.0	13861.0
13.0	11000.0
14.0	9010.0
15.0	7337.0
16.0	6062.0
17.0	4883.0
18.0	4124.0
19.0	3341.0
20.0	2791.0
21.0	2453.0
22.0	2066.0
23.0	1747.0
24.0	1506.0
25.0	1278.0
26.0	1096.0
27.0	919.0
28.0	805.0
29.0	669.0
30.0	601.0
31.0	511.0
32.0	465.0
33.0	414.0
34.0	337.0
35.0	299.0
36.0	264.0
37.0	247.0
38.0	225.0
39.0	201.0
40.0	165.0
41.0	157.0
42.0	133.0
43.0	122.0
44.0	109.0
45.0	96.0
46.0	85.0
47.0	87.0
48.0	60.0
49.0	89.0
50.0	1389.0
