#Coverage (X)	Coverage
1.0	90.02072285449235
2.0	86.3053657644876
3.0	83.10540307255266
4.0	80.22527866290392
5.0	77.50265269545973
6.0	74.89956993771924
7.0	72.38523074779694
8.0	69.94122272402632
9.0	67.55455633769049
10.0	65.22624494243925
11.0	62.95385109103081
12.0	60.72718173357849
13.0	58.55539054953735
14.0	56.439803093938444
15.0	54.37490901240344
16.0	52.36551718183227
17.0	50.40789419404131
18.0	48.501418247946326
19.0	46.64391173891339
20.0	44.8342361075304
21.0	43.06399573832105
22.0	41.33343876634143
23.0	39.6376447677398
24.0	37.969666936574505
25.0	36.32434516939176
26.0	34.70009569460147
27.0	33.09073594922641
28.0	31.498739153583344
29.0	29.91831169558243
30.0	28.347890617059022
31.0	26.788560167393257
32.0	25.24002960904889
33.0	23.70773775025438
34.0	22.197590725680698
35.0	20.7100340727156
36.0	19.25041424001229
37.0	17.828205889070887
38.0	16.448583432575134
39.0	15.12097210013981
40.0	13.850779154645465
41.0	12.644555296531365
42.0	11.511060051008798
43.0	10.450880096506623
44.0	9.464672681974236
45.0	8.558085725523554
46.0	7.72945642958986
47.0	6.978334703848589
48.0	6.299802075706623
49.0	5.691235077932504
50.0	5.151046361628644
51.0	4.672203265473556
