#Insert size (bp)	insert size
2.0	1076.0
3.0	999.0
4.0	1000.0
5.0	984.0
6.0	1034.0
7.0	1081.0
8.0	1015.0
9.0	1012.0
10.0	1039.0
11.0	1147.0
12.0	1077.0
13.0	1159.0
14.0	1114.0
15.0	1205.0
16.0	1213.0
17.0	1274.0
18.0	1298.0
19.0	73075.0
20.0	42109.0
21.0	19417.0
22.0	10264.0
23.0	6076.0
24.0	4203.0
25.0	3636.0
26.0	3369.0
27.0	3266.0
28.0	2701.0
29.0	2869.0
30.0	2801.0
31.0	2881.0
32.0	2824.0
33.0	2838.0
34.0	2914.0
35.0	3048.0
36.0	2902.0
37.0	2947.0
38.0	3142.0
39.0	3051.0
40.0	2993.0
41.0	3134.0
42.0	3055.0
43.0	3189.0
44.0	3429.0
45.0	3380.0
46.0	3246.0
47.0	3392.0
48.0	3419.0
49.0	3417.0
50.0	3667.0
51.0	3686.0
52.0	3721.0
53.0	3737.0
54.0	3701.0
55.0	3996.0
56.0	4006.0
57.0	4344.0
58.0	4092.0
59.0	4198.0
60.0	4263.0
61.0	4232.0
62.0	4263.0
63.0	4301.0
64.0	4426.0
65.0	4499.0
66.0	4563.0
67.0	4717.0
68.0	4659.0
69.0	4803.0
70.0	4922.0
71.0	5122.0
72.0	5008.0
73.0	5170.0
74.0	5317.0
75.0	5423.0
76.0	5482.0
77.0	5578.0
78.0	5786.0
79.0	5913.0
80.0	6328.0
81.0	6244.0
82.0	6523.0
83.0	7033.0
84.0	7067.0
85.0	7111.0
86.0	7089.0
87.0	7205.0
88.0	7477.0
89.0	7503.0
90.0	7641.0
91.0	7628.0
92.0	7772.0
93.0	7664.0
94.0	8092.0
95.0	8228.0
96.0	8396.0
97.0	8419.0
98.0	8740.0
99.0	8786.0
100.0	9046.0
101.0	9289.0
102.0	9449.0
103.0	9589.0
104.0	10030.0
105.0	10073.0
106.0	10047.0
107.0	10292.0
108.0	10480.0
109.0	10790.0
110.0	11147.0
111.0	11329.0
112.0	11740.0
113.0	12324.0
114.0	12879.0
115.0	13441.0
116.0	14634.0
117.0	16662.0
118.0	33690.0
119.0	35236.0
120.0	36812.0
121.0	37518.0
122.0	38469.0
123.0	39802.0
124.0	40290.0
125.0	41571.0
126.0	42070.0
127.0	43129.0
128.0	44144.0
129.0	45507.0
130.0	46149.0
131.0	47816.0
132.0	48374.0
133.0	49226.0
134.0	50113.0
135.0	51275.0
136.0	51997.0
137.0	53216.0
138.0	54037.0
139.0	55703.0
140.0	56935.0
141.0	58047.0
142.0	58746.0
143.0	60797.0
144.0	61139.0
145.0	62254.0
146.0	62900.0
147.0	62910.0
148.0	63809.0
149.0	65242.0
150.0	65568.0
151.0	66187.0
152.0	67616.0
153.0	67892.0
154.0	68493.0
155.0	69505.0
156.0	69815.0
157.0	70882.0
158.0	71064.0
159.0	71563.0
160.0	71443.0
161.0	71968.0
162.0	72859.0
