#Mapping quality	mapping quality
0.0	1.3906118E7
1.0	2221839.0
2.0	2049243.0
3.0	2166581.0
4.0	1951264.0
5.0	1853538.0
6.0	1920036.0
7.0	1738968.0
8.0	1707337.0
9.0	1786557.0
10.0	1668742.0
11.0	1519840.0
12.0	1602740.0
13.0	1804155.0
14.0	1438154.0
15.0	1628108.0
16.0	1565894.0
17.0	1497653.0
18.0	1562070.0
19.0	1530235.0
20.0	1927338.0
21.0	1700041.0
22.0	1590027.0
23.0	1601774.0
24.0	1726807.0
25.0	1694637.0
26.0	1718779.0
27.0	1860043.0
28.0	1639321.0
29.0	1678022.0
30.0	1967987.0
31.0	1748891.0
32.0	1758180.0
33.0	1933857.0
34.0	1791532.0
35.0	1830387.0
36.0	1931580.0
37.0	1907428.0
38.0	1886020.0
39.0	2068606.0
40.0	3258780.0
41.0	2065083.0
42.0	2168485.0
43.0	2201522.0
44.0	2244446.0
45.0	2470916.0
46.0	2510187.0
47.0	2490343.0
48.0	2757499.0
49.0	2821817.0
50.0	3181126.0
51.0	3189100.0
52.0	3430780.0
53.0	3745934.0
54.0	4075209.0
55.0	4630862.0
56.0	5357198.0
57.0	6558112.0
58.0	8916620.0
59.0	1.3429436E7
60.0	1.12224389E8
