#Duplication rate	Coverage
1.0	3.8454893E7
2.0	6817541.0
3.0	1315460.0
4.0	364589.0
5.0	151400.0
6.0	88418.0
7.0	55932.0
8.0	40275.0
9.0	28733.0
10.0	22159.0
11.0	16800.0
12.0	13505.0
13.0	10524.0
14.0	8723.0
15.0	7024.0
16.0	5732.0
17.0	4788.0
18.0	4009.0
19.0	3345.0
20.0	2838.0
21.0	2459.0
22.0	2094.0
23.0	1773.0
24.0	1512.0
25.0	1273.0
26.0	1185.0
27.0	985.0
28.0	828.0
29.0	746.0
30.0	639.0
31.0	541.0
32.0	497.0
33.0	464.0
34.0	359.0
35.0	340.0
36.0	326.0
37.0	252.0
38.0	243.0
39.0	232.0
40.0	197.0
41.0	169.0
42.0	167.0
43.0	174.0
44.0	146.0
45.0	142.0
46.0	123.0
47.0	102.0
48.0	103.0
49.0	98.0
50.0	3107.0
