#Coverage (X)	Coverage
1.0	89.4786300349729
2.0	85.50682357582876
3.0	82.14444624556457
4.0	79.16080593941014
5.0	76.3493996554435
6.0	73.67514896680774
7.0	71.08575493879414
8.0	68.57032857260374
9.0	66.11298467170894
10.0	63.71779356161726
11.0	61.38382644321959
12.0	59.11942527237986
13.0	56.91395926685815
14.0	54.77535281317104
15.0	52.69729196359336
16.0	50.68532902456403
17.0	48.73274808907958
18.0	46.832180879333734
19.0	44.98576369831936
20.0	43.1833126020234
21.0	41.422114365317285
22.0	39.70274525991717
23.0	38.0174230159769
24.0	36.36383571722667
25.0	34.735160137438214
26.0	33.13059203284516
27.0	31.541625867068205
28.0	29.97004346444865
29.0	28.41067529044932
30.0	26.86193237012378
31.0	25.327671040949497
32.0	23.809672151638438
33.0	22.3101695681151
34.0	20.83416469146448
35.0	19.38955036285526
36.0	17.982126698572685
37.0	16.619321164601573
38.0	15.304085364833426
39.0	14.046706334779046
40.0	12.851489526611175
41.0	11.721446382819366
42.0	10.6604121022459
43.0	9.675658375394761
44.0	8.767372848304433
45.0	7.932900183185794
46.0	7.174121393360622
47.0	6.4894169341638985
48.0	5.873994189184316
49.0	5.325424817053658
50.0	4.838061550079544
51.0	4.406716967187336
