#Insert size (bp)	insert size
2.0	1150.0
3.0	1037.0
4.0	1067.0
5.0	1139.0
6.0	1099.0
7.0	1097.0
8.0	1126.0
9.0	1119.0
10.0	1100.0
11.0	1179.0
12.0	1233.0
13.0	1239.0
14.0	1268.0
15.0	1255.0
16.0	1312.0
17.0	1403.0
18.0	1367.0
19.0	87722.0
20.0	46901.0
21.0	21211.0
22.0	11250.0
23.0	6316.0
24.0	4311.0
25.0	4170.0
26.0	3557.0
27.0	3401.0
28.0	3170.0
29.0	3024.0
30.0	3067.0
31.0	3108.0
32.0	3070.0
33.0	3074.0
34.0	3016.0
35.0	3533.0
36.0	3277.0
37.0	3430.0
38.0	3361.0
39.0	3304.0
40.0	3655.0
41.0	3551.0
42.0	3424.0
43.0	3499.0
44.0	3764.0
45.0	3600.0
46.0	3626.0
47.0	3952.0
48.0	3905.0
49.0	3863.0
50.0	4000.0
51.0	4097.0
52.0	4061.0
53.0	4246.0
54.0	4123.0
55.0	4275.0
56.0	4452.0
57.0	4900.0
58.0	4490.0
59.0	4521.0
60.0	4773.0
61.0	4748.0
62.0	5043.0
63.0	5310.0
64.0	5517.0
65.0	5759.0
66.0	5805.0
67.0	6443.0
68.0	6010.0
69.0	6087.0
70.0	6332.0
71.0	6279.0
72.0	6309.0
73.0	6750.0
74.0	6747.0
75.0	6963.0
76.0	6657.0
77.0	6967.0
78.0	6962.0
79.0	7085.0
80.0	7303.0
81.0	7306.0
82.0	7384.0
83.0	7711.0
84.0	7859.0
85.0	7862.0
86.0	8052.0
87.0	8207.0
88.0	8305.0
89.0	8623.0
90.0	8364.0
91.0	8524.0
92.0	9137.0
93.0	8932.0
94.0	9269.0
95.0	9127.0
96.0	9547.0
97.0	9598.0
98.0	9855.0
99.0	10128.0
100.0	10197.0
101.0	10466.0
102.0	10729.0
103.0	10732.0
104.0	11243.0
105.0	11211.0
106.0	11488.0
107.0	12006.0
108.0	11985.0
109.0	12418.0
110.0	12859.0
111.0	12969.0
112.0	13435.0
113.0	14128.0
114.0	14827.0
115.0	15876.0
116.0	16999.0
117.0	19517.0
118.0	41436.0
119.0	43610.0
120.0	45195.0
121.0	46027.0
