#Mapping quality	mapping quality
0.0	1.4156768E7
1.0	2205429.0
2.0	2029651.0
3.0	2154356.0
4.0	1908373.0
5.0	1832444.0
6.0	1881399.0
7.0	1711465.0
8.0	1670496.0
9.0	1754139.0
10.0	1631730.0
11.0	1462888.0
12.0	1566334.0
13.0	1751743.0
14.0	1389876.0
15.0	1583507.0
16.0	1504960.0
17.0	1440168.0
18.0	1503168.0
19.0	1475407.0
20.0	1870919.0
21.0	1634516.0
22.0	1520445.0
23.0	1537457.0
24.0	1656344.0
25.0	1625513.0
26.0	1638788.0
27.0	1804662.0
28.0	1564857.0
29.0	1600754.0
30.0	1905151.0
31.0	1679588.0
32.0	1668929.0
33.0	1880820.0
34.0	1698762.0
35.0	1739697.0
36.0	1848538.0
37.0	1825106.0
38.0	1795893.0
39.0	1989392.0
40.0	3242571.0
41.0	1980131.0
42.0	2095029.0
43.0	2117204.0
44.0	2177775.0
45.0	2399485.0
46.0	2464927.0
47.0	2449298.0
48.0	2715004.0
49.0	2765930.0
50.0	3136347.0
51.0	3141367.0
52.0	3384169.0
53.0	3718678.0
54.0	4046441.0
55.0	4593586.0
56.0	5321687.0
57.0	6469928.0
58.0	8702122.0
59.0	1.2743923E7
60.0	1.14375237E8
