#Coverage	Number of genomic locations
0.0	2.8720377E7
1.0	1.0988791E7
2.0	9695844.0
3.0	8750953.0
4.0	8308395.0
5.0	7936128.0
6.0	7672650.0
7.0	7416435.0
8.0	7228338.0
9.0	7041158.0
10.0	6845301.0
11.0	6619505.0
12.0	6403975.0
13.0	6181854.0
14.0	5966322.0
15.0	5778993.0
16.0	5584778.0
17.0	5426702.0
18.0	5256897.0
19.0	5103577.0
20.0	4971829.0
21.0	4849963.0
22.0	4750311.0
23.0	4650952.0
24.0	4574962.0
25.0	4499797.0
26.0	4445887.0
27.0	4395416.0
28.0	4358901.0
29.0	4325781.0
30.0	4295273.0
31.0	4265258.0
32.0	4244333.0
33.0	4222555.0
34.0	4197493.0
35.0	4168764.0
36.0	4128882.0
37.0	4077547.0
38.0	4017771.0
39.0	3945298.0
40.0	3857121.0
41.0	3744076.0
42.0	3615877.0
43.0	3476030.0
44.0	3327322.0
45.0	3163491.0
46.0	2990647.0
47.0	2801527.0
48.0	2613005.0
49.0	2427035.0
50.0	2232893.0
51.0	2048025.0
52.0	1864118.0
53.0	1684790.0
54.0	1518151.0
55.0	1360046.0
56.0	1217044.0
57.0	1085053.0
58.0	962775.0
59.0	854285.0
60.0	759522.0
61.0	673130.0
62.0	599738.0
63.0	536812.0
64.0	478797.0
65.0	429170.0
66.0	386566.0
67.0	348448.0
68.0	315758.0
69.0	288751.0
70.0	263946.0
71.0	243287.0
72.0	225954.0
73.0	208628.0
74.0	194213.0
75.0	181577.0
76.0	171317.0
77.0	161598.0
78.0	151580.0
79.0	142912.0
80.0	134655.0
81.0	127560.0
82.0	121277.0
83.0	115166.0
84.0	109989.0
85.0	104422.0
86.0	99156.0
87.0	94160.0
88.0	90025.0
89.0	86552.0
90.0	82634.0
91.0	77702.0
92.0	74445.0
93.0	71108.0
94.0	67852.0
95.0	65278.0
96.0	61940.0
97.0	59438.0
98.0	56855.0
99.0	54873.0
100.0	52201.0
101.0	49598.0
102.0	47197.0
103.0	45286.0
104.0	43227.0
105.0	41939.0
106.0	40202.0
107.0	38472.0
108.0	36954.0
109.0	35152.0
110.0	34103.0
111.0	32690.0
112.0	31383.0
113.0	29729.0
114.0	28623.0
115.0	27864.0
116.0	27268.0
117.0	26042.0
118.0	25393.0
119.0	24933.0
120.0	23069.0
121.0	22696.0
122.0	21753.0
123.0	21100.0
124.0	20269.0
125.0	19627.0
126.0	18967.0
127.0	18509.0
128.0	17879.0
129.0	17324.0
130.0	16709.0
131.0	15935.0
132.0	15594.0
133.0	15130.0
134.0	14554.0
135.0	14430.0
136.0	13840.0
137.0	13447.0
138.0	13071.0
139.0	12910.0
140.0	12437.0
141.0	12294.0
142.0	11724.0
143.0	11306.0
144.0	11041.0
145.0	10894.0
146.0	10590.0
147.0	10438.0
148.0	10161.0
149.0	9747.0
150.0	9585.0
151.0	9167.0
152.0	8778.0
153.0	8735.0
154.0	8474.0
155.0	8442.0
156.0	8011.0
157.0	8009.0
158.0	7875.0
159.0	7475.0
160.0	7380.0
161.0	7019.0
162.0	7014.0
163.0	6947.0
164.0	6850.0
165.0	6389.0
166.0	6342.0
167.0	6299.0
168.0	6096.0
169.0	5998.0
170.0	5841.0
171.0	5669.0
172.0	5503.0
173.0	5454.0
174.0	5354.0
175.0	5372.0
176.0	5154.0
177.0	4991.0
178.0	4748.0
179.0	4704.0
180.0	4620.0
181.0	4413.0
182.0	4377.0
183.0	4375.0
184.0	4314.0
185.0	4235.0
186.0	4196.0
187.0	4096.0
188.0	3856.0
189.0	3950.0
