#Duplication rate	Coverage
1.0	4.1668782E7
2.0	8011015.0
3.0	1625168.0
4.0	443668.0
5.0	177009.0
6.0	100075.0
7.0	62991.0
8.0	45165.0
9.0	32213.0
10.0	24783.0
11.0	18744.0
12.0	15147.0
13.0	12084.0
14.0	9783.0
15.0	8093.0
16.0	6728.0
17.0	5613.0
18.0	4703.0
19.0	3979.0
20.0	3361.0
21.0	2907.0
22.0	2386.0
23.0	2050.0
24.0	1903.0
25.0	1602.0
26.0	1427.0
27.0	1165.0
28.0	1094.0
29.0	945.0
30.0	797.0
31.0	725.0
32.0	640.0
33.0	582.0
34.0	513.0
35.0	408.0
36.0	384.0
37.0	389.0
38.0	306.0
39.0	289.0
40.0	252.0
41.0	223.0
42.0	219.0
43.0	181.0
44.0	177.0
45.0	159.0
46.0	167.0
47.0	128.0
48.0	134.0
49.0	123.0
50.0	2537.0
