#Insert size (bp)	insert size
2.0	1216.0
3.0	1199.0
4.0	1257.0
5.0	1187.0
6.0	1207.0
7.0	1274.0
8.0	1221.0
9.0	1259.0
10.0	1253.0
11.0	1282.0
12.0	1299.0
13.0	1301.0
14.0	1439.0
15.0	1467.0
16.0	1500.0
17.0	1531.0
18.0	1567.0
19.0	94986.0
20.0	50328.0
21.0	23518.0
22.0	12187.0
23.0	7145.0
24.0	4992.0
25.0	4573.0
26.0	4237.0
27.0	3729.0
28.0	3481.0
29.0	3348.0
30.0	3363.0
31.0	3402.0
32.0	3512.0
33.0	3519.0
34.0	3403.0
35.0	3839.0
36.0	3513.0
37.0	3555.0
38.0	3767.0
39.0	3684.0
40.0	3898.0
41.0	3780.0
42.0	3791.0
43.0	3969.0
44.0	4262.0
45.0	4015.0
46.0	4017.0
47.0	4300.0
48.0	4215.0
49.0	4316.0
50.0	4535.0
51.0	4583.0
52.0	4689.0
53.0	4574.0
54.0	4707.0
55.0	4808.0
56.0	4993.0
57.0	5424.0
58.0	4818.0
59.0	5040.0
60.0	5229.0
61.0	5137.0
62.0	5281.0
63.0	5272.0
64.0	5443.0
65.0	5654.0
66.0	5804.0
67.0	6834.0
68.0	6266.0
69.0	6451.0
70.0	6853.0
71.0	7081.0
72.0	7151.0
73.0	7274.0
74.0	7519.0
75.0	7605.0
76.0	7656.0
77.0	7743.0
78.0	7604.0
79.0	7948.0
80.0	7996.0
81.0	8159.0
82.0	8500.0
83.0	8636.0
84.0	8543.0
85.0	8545.0
86.0	8802.0
87.0	8981.0
88.0	9366.0
89.0	9227.0
90.0	9584.0
91.0	9566.0
92.0	9868.0
93.0	9768.0
94.0	10213.0
95.0	10351.0
96.0	10488.0
97.0	10661.0
98.0	11151.0
99.0	11302.0
100.0	11285.0
101.0	11733.0
102.0	11769.0
103.0	12006.0
104.0	12426.0
105.0	12420.0
106.0	12959.0
107.0	13308.0
108.0	13335.0
109.0	13651.0
110.0	14387.0
111.0	14749.0
112.0	15193.0
113.0	16115.0
114.0	16752.0
115.0	17583.0
116.0	19134.0
117.0	21655.0
118.0	45824.0
119.0	47872.0
120.0	49208.0
121.0	50626.0
122.0	52011.0
123.0	53512.0
124.0	54268.0
125.0	55302.0
126.0	56381.0
127.0	57886.0
128.0	58932.0
129.0	60255.0
130.0	61867.0
131.0	63830.0
132.0	65165.0
133.0	66406.0
134.0	66861.0
135.0	68119.0
136.0	69097.0
137.0	70377.0
138.0	71717.0
139.0	72959.0
140.0	74685.0
141.0	76724.0
142.0	77659.0
143.0	79284.0
144.0	80036.0
145.0	81148.0
146.0	81967.0
147.0	82688.0
148.0	83584.0
149.0	84567.0
150.0	85638.0
151.0	86843.0
152.0	87452.0
153.0	88317.0
154.0	89109.0
155.0	89812.0
156.0	90342.0
157.0	91013.0
158.0	91878.0
159.0	91745.0
160.0	91984.0
161.0	93302.0
162.0	93875.0
163.0	94100.0
164.0	94035.0
165.0	94032.0
166.0	94536.0
167.0	94848.0
168.0	96110.0
169.0	96263.0
170.0	96339.0
171.0	96240.0
172.0	97186.0
173.0	98083.0
174.0	97490.0
175.0	98047.0
176.0	97823.0
177.0	97537.0
178.0	97635.0
179.0	97435.0
180.0	96833.0
181.0	97471.0
182.0	96555.0
183.0	96686.0
184.0	96700.0
185.0	95566.0
186.0	95436.0
187.0	95539.0
188.0	95591.0
189.0	94596.0
190.0	94371.0
191.0	94612.0
192.0	94097.0
193.0	93223.0
194.0	93294.0
195.0	92995.0
196.0	91723.0
197.0	92281.0
198.0	91547.0
199.0	91513.0
