#Mapping quality	mapping quality
0.0	1.3727771E7
1.0	2219581.0
2.0	2033611.0
3.0	2158381.0
4.0	1925812.0
5.0	1864290.0
6.0	1917246.0
7.0	1742793.0
8.0	1710058.0
9.0	1786677.0
10.0	1670729.0
11.0	1522228.0
12.0	1607934.0
13.0	1776211.0
14.0	1435940.0
15.0	1606541.0
16.0	1536062.0
17.0	1467780.0
18.0	1550176.0
19.0	1518204.0
20.0	1902217.0
21.0	1668669.0
22.0	1558536.0
23.0	1579709.0
24.0	1692836.0
25.0	1666772.0
26.0	1691328.0
27.0	1843366.0
28.0	1621670.0
29.0	1655401.0
30.0	1946156.0
31.0	1750492.0
32.0	1741539.0
33.0	1935134.0
34.0	1787351.0
35.0	1825033.0
36.0	1937481.0
37.0	1913393.0
38.0	1894874.0
39.0	2084460.0
40.0	3257990.0
41.0	2099432.0
42.0	2211239.0
43.0	2255798.0
44.0	2306850.0
45.0	2526127.0
46.0	2598552.0
47.0	2584169.0
48.0	2847987.0
49.0	2913619.0
50.0	3285542.0
51.0	3303244.0
52.0	3550914.0
53.0	3901978.0
54.0	4222226.0
55.0	4803062.0
56.0	5527680.0
57.0	6709859.0
58.0	9158672.0
59.0	1.4004404E7
60.0	1.12229672E8
