#Duplication rate	Coverage
1.0	3.431333E7
2.0	5658736.0
3.0	1049711.0
4.0	289769.0
5.0	122577.0
6.0	72375.0
7.0	46291.0
8.0	32949.0
9.0	23542.0
10.0	18046.0
11.0	13085.0
12.0	10232.0
13.0	7926.0
14.0	6419.0
15.0	5055.0
16.0	4195.0
17.0	3281.0
18.0	2868.0
19.0	2258.0
20.0	1919.0
21.0	1573.0
22.0	1296.0
23.0	1098.0
24.0	949.0
25.0	757.0
26.0	700.0
27.0	564.0
28.0	469.0
29.0	466.0
30.0	380.0
31.0	284.0
32.0	276.0
33.0	219.0
34.0	223.0
35.0	160.0
36.0	167.0
37.0	140.0
38.0	124.0
39.0	128.0
40.0	116.0
41.0	100.0
42.0	88.0
43.0	76.0
44.0	68.0
45.0	58.0
46.0	60.0
47.0	42.0
48.0	52.0
49.0	55.0
50.0	1084.0
