#Coverage (X)	Coverage
1.0	87.39317749248534
2.0	82.9443787059991
3.0	79.10490010311915
4.0	75.61990470475612
5.0	72.31428851248351
6.0	69.15746749849473
7.0	66.10748309799447
8.0	63.163221142303556
9.0	60.32359543078319
10.0	57.58627778667498
11.0	54.9515374836702
12.0	52.418593693106075
13.0	49.991931708159285
14.0	47.66074188121527
15.0	45.429874390815016
16.0	43.29493305125938
17.0	41.24089479712657
18.0	39.2767009458905
19.0	37.39417247178304
20.0	35.58435797582737
21.0	33.842436873571785
22.0	32.16380679632162
23.0	30.539544638350222
24.0	28.969423403236675
25.0	27.44799094915186
26.0	25.971619886297873
27.0	24.537979761447886
28.0	23.14860751598482
29.0	21.79742628010736
30.0	20.482278612187443
31.0	19.20603936661037
32.0	17.964335447570818
33.0	16.763207951795167
34.0	15.602591186909464
35.0	14.484214618481673
36.0	13.408204102693603
37.0	12.377204570621686
38.0	11.394738694517216
39.0	10.463624742265125
40.0	9.584943711147872
41.0	8.759119349498476
42.0	7.987980311865414
43.0	7.274870405125327
44.0	6.618380820545525
45.0	6.015791828801994
46.0	5.466160646765445
47.0	4.965076779506774
48.0	4.513327559884203
49.0	4.107847885795778
50.0	3.745324194873646
51.0	3.4224214609050136
