#Insert size (bp)	insert size
2.0	837.0
3.0	828.0
4.0	816.0
5.0	848.0
6.0	818.0
7.0	855.0
8.0	825.0
9.0	862.0
10.0	836.0
11.0	915.0
12.0	875.0
13.0	932.0
14.0	961.0
15.0	1005.0
16.0	1015.0
17.0	1092.0
18.0	1172.0
19.0	72939.0
20.0	38815.0
21.0	17531.0
22.0	9112.0
23.0	5281.0
24.0	3711.0
25.0	3300.0
26.0	3180.0
27.0	2951.0
28.0	2561.0
29.0	2559.0
30.0	2603.0
31.0	2669.0
32.0	3127.0
33.0	2555.0
34.0	2432.0
35.0	2953.0
36.0	2642.0
37.0	2624.0
38.0	2750.0
39.0	2606.0
40.0	2648.0
41.0	2853.0
42.0	2751.0
43.0	2826.0
44.0	3008.0
45.0	2963.0
46.0	3093.0
47.0	2972.0
48.0	3064.0
49.0	3088.0
50.0	3349.0
51.0	3348.0
52.0	3342.0
53.0	3392.0
54.0	3434.0
55.0	3455.0
56.0	3647.0
57.0	4028.0
58.0	3768.0
59.0	4051.0
60.0	3986.0
61.0	4471.0
62.0	4470.0
63.0	4464.0
64.0	4697.0
65.0	4547.0
66.0	4783.0
67.0	4859.0
68.0	4974.0
69.0	4950.0
70.0	5069.0
71.0	5249.0
72.0	5315.0
73.0	5272.0
74.0	5422.0
75.0	5528.0
76.0	5561.0
77.0	5629.0
78.0	5672.0
79.0	5816.0
80.0	5963.0
81.0	6143.0
82.0	6108.0
83.0	6666.0
84.0	6386.0
85.0	6416.0
86.0	6610.0
87.0	6714.0
88.0	7006.0
89.0	6730.0
90.0	7033.0
91.0	7177.0
92.0	7417.0
93.0	7376.0
94.0	7883.0
95.0	7726.0
96.0	7903.0
97.0	8033.0
98.0	8172.0
99.0	8469.0
100.0	8475.0
101.0	8648.0
102.0	8846.0
103.0	9081.0
104.0	9410.0
105.0	9857.0
106.0	9491.0
107.0	10196.0
108.0	10066.0
109.0	10341.0
110.0	10884.0
111.0	11026.0
112.0	11365.0
113.0	12128.0
114.0	12827.0
115.0	13553.0
116.0	14745.0
117.0	16738.0
118.0	36181.0
119.0	37806.0
120.0	38879.0
121.0	40309.0
122.0	40473.0
123.0	41991.0
124.0	42422.0
125.0	44353.0
126.0	44580.0
127.0	45949.0
128.0	46206.0
129.0	47879.0
130.0	48522.0
131.0	49763.0
132.0	50840.0
133.0	51868.0
134.0	52831.0
135.0	53391.0
136.0	54212.0
137.0	55398.0
138.0	56232.0
139.0	57026.0
140.0	58943.0
141.0	59340.0
142.0	60143.0
143.0	61610.0
144.0	62487.0
145.0	63317.0
146.0	64150.0
147.0	64190.0
148.0	65020.0
149.0	66207.0
150.0	66905.0
151.0	67738.0
152.0	68139.0
153.0	68639.0
154.0	69035.0
155.0	70150.0
156.0	70665.0
157.0	70562.0
158.0	71374.0
159.0	72274.0
160.0	72620.0
161.0	72664.0
162.0	72346.0
163.0	74185.0
164.0	74457.0
165.0	74729.0
166.0	75548.0
167.0	76128.0
168.0	77291.0
169.0	77430.0
170.0	77419.0
171.0	78147.0
172.0	77564.0
173.0	78344.0
174.0	77397.0
175.0	77844.0
176.0	78249.0
177.0	78125.0
178.0	77855.0
179.0	77914.0
180.0	77974.0
181.0	77836.0
182.0	78025.0
183.0	77652.0
184.0	77348.0
185.0	76775.0
186.0	77124.0
187.0	77201.0
188.0	77310.0
189.0	76827.0
190.0	76463.0
191.0	76515.0
192.0	76230.0
193.0	75953.0
194.0	75532.0
195.0	75248.0
196.0	74757.0
197.0	74803.0
198.0	74336.0
199.0	73959.0
200.0	73341.0
201.0	73250.0
202.0	73052.0
203.0	72890.0
204.0	72567.0
205.0	71971.0
206.0	71595.0
207.0	71270.0
208.0	70968.0
209.0	70996.0
210.0	70056.0
211.0	70277.0
212.0	69052.0
213.0	69411.0
214.0	68128.0
215.0	68185.0
216.0	67601.0
217.0	66848.0
218.0	66689.0
219.0	66016.0
220.0	65666.0
221.0	65101.0
222.0	65262.0
223.0	64724.0
224.0	63822.0
225.0	63467.0
226.0	62759.0
227.0	62846.0
228.0	62361.0
229.0	62280.0
230.0	61286.0
231.0	61655.0
232.0	60612.0
233.0	60192.0
234.0	59928.0
235.0	59254.0
236.0	58697.0
237.0	58084.0
238.0	57935.0
239.0	57206.0
240.0	57073.0
241.0	56641.0
242.0	56314.0
243.0	55886.0
244.0	55362.0
245.0	54917.0
246.0	54984.0
247.0	54165.0
248.0	53866.0
249.0	53573.0
250.0	53101.0
251.0	52791.0
252.0	51979.0
253.0	51797.0
254.0	51404.0
255.0	51175.0
256.0	50374.0
257.0	50082.0
258.0	49712.0
259.0	49483.0
260.0	49316.0
261.0	48378.0
262.0	48370.0
263.0	48047.0
264.0	47568.0
265.0	47235.0
266.0	46311.0
267.0	46605.0
268.0	46862.0
269.0	45863.0
270.0	45553.0
271.0	45274.0
272.0	45146.0
273.0	44389.0
274.0	44206.0
275.0	44280.0
276.0	43997.0
277.0	43004.0
278.0	43043.0
279.0	42605.0
280.0	42548.0
281.0	42475.0
282.0	42026.0
283.0	41728.0
284.0	41677.0
285.0	41136.0
286.0	40992.0
287.0	40622.0
288.0	40170.0
289.0	39958.0
290.0	39416.0
291.0	39537.0
292.0	39390.0
293.0	39275.0
294.0	38229.0
295.0	38073.0
296.0	37951.0
297.0	37883.0
298.0	37698.0
299.0	37180.0
300.0	37332.0
301.0	36828.0
302.0	36834.0
303.0	36362.0
304.0	36021.0
305.0	35900.0
306.0	35778.0
307.0	35827.0
308.0	35314.0
309.0	35565.0
310.0	35050.0
311.0	34808.0
312.0	34558.0
313.0	34352.0
314.0	34453.0
315.0	33940.0
316.0	33835.0
317.0	33300.0
318.0	33151.0
319.0	33043.0
320.0	32758.0
321.0	32627.0
322.0	32611.0
323.0	32455.0
324.0	32132.0
325.0	32127.0
326.0	31919.0
327.0	31915.0
328.0	31752.0
329.0	31644.0
330.0	31505.0
331.0	31153.0
332.0	30820.0
333.0	30607.0
334.0	30675.0
335.0	30541.0
336.0	30639.0
337.0	29704.0
338.0	30046.0
339.0	29684.0
340.0	29549.0
341.0	29441.0
342.0	29296.0
343.0	29009.0
344.0	29176.0
345.0	29410.0
346.0	28809.0
347.0	28741.0
348.0	28995.0
349.0	28766.0
350.0	28474.0
351.0	28454.0
352.0	28498.0
353.0	28144.0
354.0	27998.0
355.0	27826.0
356.0	27783.0
357.0	27842.0
358.0	27654.0
359.0	27729.0
360.0	27730.0
361.0	27636.0
362.0	27449.0
363.0	27203.0
364.0	27264.0
365.0	27037.0
366.0	27212.0
367.0	26782.0
368.0	27130.0
369.0	26894.0
370.0	26689.0
371.0	26954.0
372.0	26798.0
373.0	27300.0
374.0	26916.0
375.0	27065.0
376.0	27374.0
377.0	27209.0
378.0	27431.0
379.0	27396.0
380.0	27224.0
381.0	27157.0
382.0	27364.0
383.0	27224.0
384.0	27647.0
385.0	27352.0
386.0	27847.0
387.0	27762.0
388.0	27899.0
389.0	28056.0
390.0	28109.0
391.0	28409.0
392.0	28313.0
393.0	28826.0
394.0	29064.0
395.0	28948.0
396.0	29304.0
397.0	29462.0
398.0	29947.0
399.0	30163.0
400.0	29967.0
401.0	30425.0
402.0	30799.0
403.0	30745.0
404.0	30903.0
405.0	31531.0
406.0	31410.0
407.0	31930.0
408.0	32266.0
409.0	32533.0
410.0	32799.0
411.0	33036.0
412.0	33269.0
413.0	33627.0
414.0	34211.0
415.0	34460.0
416.0	34780.0
417.0	34880.0
418.0	35521.0
419.0	35540.0
420.0	35821.0
421.0	36394.0
422.0	36798.0
423.0	36862.0
424.0	37019.0
425.0	37639.0
426.0	37760.0
427.0	38064.0
428.0	38471.0
429.0	38593.0
430.0	38934.0
431.0	39455.0
432.0	39646.0
433.0	39592.0
434.0	40259.0
435.0	40035.0
436.0	40675.0
437.0	40575.0
438.0	41250.0
439.0	41439.0
440.0	41306.0
441.0	41973.0
442.0	42039.0
443.0	41955.0
