#GC Content (%)	Sample
1.0	3.748163165788566E-7
2.0	5.622244748682849E-7
3.0	1.874081582894283E-7
4.0	5.622244748682849E-7
5.0	9.370407914471414E-7
6.0	1.1244489497365697E-6
7.0	1.311857108025998E-6
8.0	9.370407914471414E-7
9.0	3.5607550074991377E-6
10.0	4.310387640656851E-6
11.0	5.247428432103992E-6
12.0	1.1431897655655124E-5
13.0	2.5112693210783392E-5
14.0	4.160461114025308E-5
15.0	8.170995701419073E-5
16.0	1.5086356742298977E-4
17.0	2.539380544821754E-4
18.0	4.211061316763453E-4
19.0	6.889123898719383E-4
20.0	0.0010701005838326355
21.0	0.0015862226517617212
22.0	0.0022890032453470772
23.0	0.003110225794971351
24.0	0.0041480921755782055
25.0	0.005956768311229478
26.0	0.006074273226476949
27.0	0.008199294333320777
28.0	0.009853171330224984
29.0	0.011801841360118458
30.0	0.013874575590799534
31.0	0.016336181749931174
32.0	0.018840142152836224
33.0	0.02189564476558706
34.0	0.02488724119636121
35.0	0.02796185944125757
36.0	0.03126605268005848
37.0	0.035170514249860424
38.0	0.03894397751701807
39.0	0.04266234278563861
40.0	0.04657636217151332
41.0	0.04971057621074572
42.0	0.05173420950395497
43.0	0.05335603970579167
44.0	0.05419038082649622
45.0	0.05384161424391958
46.0	0.051968469701816754
47.0	0.04950705095084341
48.0	0.04585971337421455
49.0	0.04121573921180252
50.0	0.03640328511508828
51.0	0.03394167895595664
52.0	0.02342039754142985
53.0	0.021400325003228103
54.0	0.016715121045992397
55.0	0.012668791500365352
56.0	0.009417634770360351
57.0	0.006682787516442724
58.0	0.004719499650202673
59.0	0.0031894994459277797
60.0	0.0021139640255047514
61.0	0.0013705158615705888
62.0	8.751960992116301E-4
63.0	5.597881688105223E-4
64.0	3.358354196546555E-4
65.0	2.2507719810560336E-4
66.0	1.3362201686036232E-4
67.0	8.920628334576787E-5
68.0	5.228687616275049E-5
69.0	3.5232733758412514E-5
70.0	2.192675451986311E-5
71.0	1.2931162921970552E-5
72.0	8.808183439603129E-6
73.0	5.6222447486828486E-6
74.0	4.122979482367423E-6
75.0	2.9985305326308527E-6
76.0	1.311857108025998E-6
77.0	3.748163165788566E-7
78.0	0.0
79.0	0.0
80.0	1.1244489497365697E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	5.622244748682848E-7
85.0	0.0
86.0	1.874081582894283E-7
87.0	0.0
88.0	1.874081582894283E-7
89.0	1.874081582894283E-7
90.0	1.874081582894283E-7
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	1.874081582894283E-7
97.0	0.0
98.0	1.874081582894283E-7
99.0	0.0
100.0	7.871142648155987E-6
