#Mapping quality	mapping quality
0.0	1.431029E7
1.0	2054158.0
2.0	1869215.0
3.0	2022302.0
4.0	1775206.0
5.0	1695591.0
6.0	1784487.0
7.0	1604866.0
8.0	1568416.0
9.0	1682681.0
10.0	1549725.0
11.0	1391901.0
12.0	1485278.0
13.0	1711541.0
14.0	1308933.0
15.0	1523583.0
16.0	1433929.0
17.0	1354719.0
18.0	1433379.0
19.0	1406326.0
20.0	1813419.0
21.0	1560443.0
22.0	1433926.0
23.0	1450697.0
24.0	1582305.0
25.0	1545797.0
26.0	1558069.0
27.0	1750868.0
28.0	1469868.0
29.0	1511327.0
30.0	1825775.0
31.0	1588136.0
32.0	1575540.0
33.0	1789020.0
34.0	1610390.0
35.0	1655156.0
36.0	1757087.0
37.0	1734580.0
38.0	1696092.0
39.0	1903059.0
40.0	3280872.0
41.0	1879568.0
42.0	2006456.0
43.0	2022587.0
44.0	2072017.0
45.0	2314181.0
46.0	2361044.0
47.0	2320116.0
48.0	2594747.0
49.0	2635029.0
50.0	3002792.0
51.0	2969336.0
52.0	3178260.0
53.0	3515119.0
54.0	3771962.0
55.0	4270442.0
56.0	4870774.0
57.0	5821631.0
58.0	7444853.0
59.0	1.054288E7
60.0	1.18075887E8
