#Duplication rate	Coverage
1.0	3.7669047E7
2.0	6215586.0
3.0	1131162.0
4.0	310167.0
5.0	135380.0
6.0	79810.0
7.0	51970.0
8.0	37052.0
9.0	27238.0
10.0	20570.0
11.0	15726.0
12.0	12542.0
13.0	10000.0
14.0	8054.0
15.0	6574.0
16.0	5531.0
17.0	4676.0
18.0	3786.0
19.0	3211.0
20.0	2766.0
21.0	2305.0
22.0	2028.0
23.0	1682.0
24.0	1342.0
25.0	1196.0
26.0	1019.0
27.0	888.0
28.0	806.0
29.0	669.0
30.0	606.0
31.0	496.0
32.0	423.0
33.0	410.0
34.0	360.0
35.0	332.0
36.0	245.0
37.0	235.0
38.0	215.0
39.0	207.0
40.0	204.0
41.0	151.0
42.0	161.0
43.0	145.0
44.0	119.0
45.0	110.0
46.0	100.0
47.0	116.0
48.0	84.0
49.0	83.0
50.0	1563.0
