#Coverage (X)	Coverage
1.0	90.06244043884652
2.0	86.08444133522221
3.0	82.69290244469454
4.0	79.65090519619686
5.0	76.79225081049185
6.0	74.06778415573763
7.0	71.42468498596078
8.0	68.84704403911057
9.0	66.32767743132152
10.0	63.86319062299249
11.0	61.45158780175219
12.0	59.096688881583596
13.0	56.79873484292783
14.0	54.5578060125986
15.0	52.38175815785055
16.0	50.26745463043186
17.0	48.20864262205452
18.0	46.20434877987066
19.0	44.24436411871477
20.0	42.31880453798367
21.0	40.424295010662576
22.0	38.5517299883427
23.0	36.69262052034312
24.0	34.84183317041138
25.0	33.0017679866655
26.0	31.164420255775212
27.0	29.328205230521135
28.0	27.49549238930271
29.0	25.672043798861864
30.0	23.864699271125232
31.0	22.08150091854688
32.0	20.334497437973027
33.0	18.634600592886684
34.0	16.996351162617614
35.0	15.43010480193854
36.0	13.949300804681158
37.0	12.56048824523586
38.0	11.27545370137257
39.0	10.093776026436416
40.0	9.016214585245251
41.0	8.045333006432458
42.0	7.178765714115855
43.0	6.41213928728034
44.0	5.7377020257983276
45.0	5.146313583815413
46.0	4.6313175677164224
47.0	4.186006851161736
48.0	3.800688556894144
49.0	3.4672129280250346
50.0	3.177775905653519
51.0	2.9273624298841554
