#Insert size (bp)	insert size
2.0	942.0
3.0	799.0
4.0	841.0
5.0	864.0
6.0	807.0
7.0	840.0
8.0	837.0
9.0	901.0
10.0	835.0
11.0	843.0
12.0	892.0
13.0	901.0
14.0	919.0
15.0	946.0
16.0	932.0
17.0	1091.0
18.0	1043.0
19.0	46843.0
20.0	27353.0
21.0	12769.0
22.0	7054.0
23.0	4371.0
24.0	3071.0
25.0	2613.0
26.0	2603.0
27.0	2437.0
28.0	2088.0
29.0	2073.0
30.0	1934.0
31.0	2403.0
32.0	2090.0
33.0	2139.0
34.0	1976.0
35.0	2349.0
36.0	2184.0
37.0	2180.0
38.0	2210.0
39.0	2280.0
40.0	2340.0
41.0	2455.0
42.0	2329.0
43.0	2369.0
44.0	2616.0
45.0	2633.0
46.0	2502.0
47.0	2441.0
48.0	2540.0
49.0	2720.0
50.0	2680.0
51.0	2697.0
52.0	2846.0
53.0	2827.0
54.0	2801.0
55.0	2813.0
56.0	3064.0
57.0	3537.0
58.0	3071.0
59.0	3101.0
60.0	3237.0
61.0	3385.0
62.0	3436.0
63.0	3498.0
64.0	3556.0
65.0	3586.0
66.0	3763.0
67.0	4002.0
68.0	3793.0
69.0	3864.0
70.0	3837.0
71.0	3974.0
72.0	3799.0
73.0	4016.0
74.0	4163.0
75.0	4330.0
76.0	4121.0
77.0	4235.0
78.0	4402.0
79.0	4254.0
80.0	4392.0
81.0	4438.0
82.0	4707.0
83.0	5016.0
84.0	4742.0
85.0	4691.0
86.0	4716.0
87.0	4864.0
88.0	5036.0
89.0	5021.0
90.0	4951.0
91.0	5157.0
92.0	5323.0
93.0	5289.0
94.0	5373.0
95.0	5585.0
96.0	5456.0
97.0	5613.0
98.0	5918.0
99.0	5812.0
100.0	5748.0
101.0	6016.0
102.0	6089.0
103.0	6097.0
104.0	6345.0
105.0	6387.0
106.0	6446.0
107.0	6587.0
108.0	6557.0
109.0	6720.0
110.0	6891.0
111.0	7093.0
112.0	7266.0
113.0	7584.0
114.0	7810.0
115.0	8225.0
116.0	8846.0
117.0	10076.0
118.0	20164.0
119.0	21159.0
120.0	21674.0
121.0	22299.0
122.0	22857.0
123.0	23227.0
124.0	23649.0
125.0	24513.0
126.0	24822.0
127.0	25413.0
128.0	26059.0
129.0	26769.0
130.0	27288.0
131.0	28392.0
132.0	28760.0
133.0	29280.0
134.0	29921.0
135.0	30371.0
136.0	31029.0
137.0	31757.0
138.0	32709.0
139.0	33753.0
140.0	34127.0
141.0	34710.0
142.0	35649.0
143.0	35790.0
144.0	37076.0
145.0	36980.0
146.0	37935.0
147.0	37774.0
148.0	38045.0
149.0	39155.0
150.0	39402.0
151.0	39656.0
152.0	40393.0
153.0	40976.0
154.0	40933.0
155.0	41463.0
156.0	41999.0
157.0	42247.0
158.0	42536.0
159.0	42621.0
160.0	42880.0
161.0	43317.0
162.0	44009.0
163.0	43769.0
164.0	44687.0
165.0	44215.0
166.0	44746.0
167.0	44632.0
168.0	45089.0
169.0	44910.0
170.0	45198.0
171.0	45198.0
172.0	45541.0
173.0	45664.0
174.0	45670.0
175.0	46126.0
176.0	45956.0
177.0	45774.0
178.0	45755.0
179.0	46241.0
180.0	46450.0
181.0	45884.0
182.0	46149.0
183.0	46366.0
184.0	46050.0
185.0	46209.0
186.0	45562.0
187.0	45853.0
188.0	46068.0
189.0	46270.0
190.0	46242.0
191.0	46110.0
192.0	46089.0
193.0	45635.0
194.0	45942.0
195.0	45902.0
196.0	45821.0
197.0	45379.0
198.0	45758.0
199.0	45450.0
200.0	45005.0
201.0	45167.0
202.0	45182.0
203.0	45214.0
204.0	44834.0
205.0	44953.0
206.0	44771.0
207.0	44518.0
208.0	44305.0
209.0	44313.0
210.0	43960.0
211.0	43947.0
212.0	43744.0
213.0	43900.0
214.0	43672.0
215.0	43155.0
216.0	43105.0
217.0	43186.0
218.0	42904.0
219.0	42965.0
220.0	42454.0
221.0	42363.0
222.0	42659.0
223.0	41845.0
224.0	42224.0
225.0	41938.0
226.0	41368.0
227.0	41335.0
228.0	40991.0
229.0	40983.0
230.0	41324.0
231.0	41381.0
232.0	41392.0
233.0	41258.0
234.0	41706.0
235.0	41759.0
236.0	41905.0
237.0	41396.0
238.0	41456.0
239.0	41366.0
240.0	40996.0
241.0	40936.0
242.0	40898.0
243.0	40968.0
244.0	40569.0
245.0	40054.0
246.0	40483.0
247.0	39792.0
248.0	39897.0
249.0	39703.0
250.0	39541.0
251.0	39644.0
252.0	39429.0
253.0	39132.0
254.0	39137.0
255.0	38757.0
256.0	38737.0
257.0	38759.0
258.0	38094.0
259.0	38499.0
260.0	38332.0
261.0	38203.0
262.0	38029.0
263.0	37541.0
264.0	38590.0
265.0	37597.0
266.0	37609.0
267.0	37265.0
268.0	37023.0
269.0	37313.0
270.0	36971.0
271.0	37074.0
272.0	36889.0
273.0	36896.0
274.0	36596.0
275.0	36987.0
276.0	36724.0
277.0	36017.0
278.0	36461.0
279.0	35883.0
280.0	36192.0
281.0	36045.0
282.0	36026.0
283.0	36254.0
284.0	36198.0
285.0	35866.0
286.0	35664.0
287.0	35714.0
288.0	35512.0
289.0	35359.0
290.0	35005.0
291.0	35176.0
292.0	35427.0
293.0	35353.0
294.0	35303.0
295.0	35024.0
296.0	34829.0
297.0	34855.0
298.0	34783.0
299.0	34765.0
300.0	34910.0
301.0	34535.0
302.0	35043.0
303.0	34614.0
304.0	34610.0
305.0	34488.0
306.0	34197.0
307.0	34536.0
308.0	34236.0
309.0	34528.0
310.0	34291.0
311.0	34102.0
312.0	34295.0
313.0	34474.0
314.0	34599.0
315.0	33901.0
316.0	34017.0
317.0	34129.0
318.0	33922.0
319.0	34168.0
320.0	34139.0
321.0	34046.0
322.0	34148.0
323.0	34336.0
324.0	33907.0
325.0	33894.0
326.0	34169.0
327.0	34129.0
328.0	33872.0
329.0	33652.0
330.0	34093.0
331.0	33983.0
332.0	34257.0
333.0	34272.0
334.0	34110.0
335.0	33842.0
336.0	34168.0
337.0	33981.0
338.0	34604.0
339.0	34263.0
340.0	34070.0
341.0	34361.0
342.0	34385.0
343.0	34209.0
344.0	34971.0
345.0	34931.0
346.0	34753.0
347.0	34774.0
348.0	34583.0
349.0	34712.0
350.0	34937.0
351.0	35383.0
352.0	35032.0
353.0	34824.0
354.0	35276.0
355.0	35281.0
356.0	35713.0
357.0	35478.0
358.0	36087.0
359.0	35788.0
360.0	35909.0
361.0	36478.0
