#Mapping quality	mapping quality
0.0	1.387502E7
1.0	2195241.0
2.0	2007273.0
3.0	2137687.0
4.0	1889168.0
5.0	1802166.0
6.0	1885547.0
7.0	1709215.0
8.0	1682774.0
9.0	1770585.0
10.0	1644054.0
11.0	1487929.0
12.0	1593257.0
13.0	1784578.0
14.0	1429110.0
15.0	1634933.0
16.0	1552013.0
17.0	1491401.0
18.0	1552889.0
19.0	1517463.0
20.0	1926683.0
21.0	1690939.0
22.0	1580540.0
23.0	1594318.0
24.0	1715089.0
25.0	1683279.0
26.0	1729517.0
27.0	1872311.0
28.0	1635537.0
29.0	1668378.0
30.0	1977320.0
31.0	1749515.0
32.0	1752203.0
33.0	1948201.0
34.0	1773052.0
35.0	1817463.0
36.0	1908036.0
37.0	1881153.0
38.0	1856541.0
39.0	2052567.0
40.0	3307774.0
41.0	2027545.0
42.0	2129446.0
43.0	2162484.0
44.0	2205681.0
45.0	2427349.0
46.0	2472530.0
47.0	2466462.0
48.0	2721697.0
49.0	2772946.0
50.0	3138266.0
51.0	3152235.0
52.0	3397056.0
53.0	3737997.0
54.0	4047989.0
55.0	4598901.0
56.0	5324878.0
57.0	6480201.0
58.0	8546468.0
59.0	1.246512E7
60.0	1.14898482E8
