#Duplication rate	Coverage
1.0	3.5780581E7
2.0	5680018.0
3.0	1017294.0
4.0	280099.0
5.0	123153.0
6.0	73036.0
7.0	48105.0
8.0	34145.0
9.0	24527.0
10.0	18291.0
11.0	13806.0
12.0	10775.0
13.0	8635.0
14.0	6960.0
15.0	5503.0
16.0	4636.0
17.0	3684.0
18.0	3175.0
19.0	2605.0
20.0	2198.0
21.0	1857.0
22.0	1564.0
23.0	1305.0
24.0	1076.0
25.0	883.0
26.0	815.0
27.0	707.0
28.0	634.0
29.0	501.0
30.0	431.0
31.0	389.0
32.0	348.0
33.0	291.0
34.0	270.0
35.0	232.0
36.0	211.0
37.0	188.0
38.0	177.0
39.0	186.0
40.0	145.0
41.0	123.0
42.0	122.0
43.0	121.0
44.0	104.0
45.0	96.0
46.0	91.0
47.0	73.0
48.0	61.0
49.0	49.0
50.0	1354.0
