#Coverage (X)	Coverage
1.0	89.18559163958523
2.0	85.1788498458839
3.0	81.70349691726341
4.0	78.48980744605822
5.0	75.41148198954949
6.0	72.42824624435153
7.0	69.51552085588968
8.0	66.66547379722263
9.0	63.87399604288001
10.0	61.14944385795572
11.0	58.503338123835874
12.0	55.94418047438251
13.0	53.4676550507102
14.0	51.07390494511865
15.0	48.77032412698615
16.0	46.55311804869193
17.0	44.41701896234765
18.0	42.356533424483125
19.0	40.359860873308236
20.0	38.41790291502917
21.0	36.52408998703989
22.0	34.67219204573645
23.0	32.84758473287765
24.0	31.049643645701053
25.0	29.274667571790502
26.0	27.519280508501893
27.0	25.781118506001903
28.0	24.0605549051089
29.0	22.360810258195897
30.0	20.68728369789916
31.0	19.048491817730252
32.0	17.455308006419045
33.0	15.916928871110528
34.0	14.448029502770353
35.0	13.057961958814559
36.0	11.754844450783864
37.0	10.544974340705068
38.0	9.43432378083287
39.0	8.423058302941257
40.0	7.513408846066781
41.0	6.702361040831917
42.0	5.984544698270128
43.0	5.352660159837029
44.0	4.801386343241646
45.0	4.321467778370263
46.0	3.9064536041836533
47.0	3.5470402195218043
48.0	3.237550437393324
49.0	2.97176136880924
50.0	2.7409999943576224
51.0	2.5403045885456663
