#Insert size (bp)	insert size
2.0	726.0
3.0	622.0
4.0	637.0
5.0	629.0
6.0	678.0
7.0	676.0
8.0	677.0
9.0	752.0
10.0	731.0
11.0	785.0
12.0	808.0
13.0	789.0
14.0	780.0
15.0	789.0
16.0	802.0
17.0	815.0
18.0	904.0
19.0	37245.0
20.0	21485.0
21.0	9725.0
22.0	5114.0
23.0	3192.0
24.0	2201.0
25.0	2102.0
26.0	2018.0
27.0	1916.0
28.0	1676.0
29.0	1656.0
30.0	1707.0
31.0	1653.0
32.0	2164.0
33.0	1643.0
34.0	1736.0
35.0	1968.0
36.0	1900.0
37.0	1949.0
38.0	1967.0
39.0	1908.0
40.0	2091.0
41.0	2141.0
42.0	2083.0
43.0	2168.0
44.0	2304.0
45.0	2259.0
46.0	2225.0
47.0	2684.0
48.0	2297.0
49.0	2350.0
50.0	2421.0
51.0	2428.0
52.0	2461.0
53.0	2681.0
54.0	2544.0
55.0	2620.0
56.0	2797.0
57.0	3113.0
58.0	2806.0
59.0	2793.0
60.0	2571.0
61.0	2752.0
62.0	2827.0
63.0	2828.0
64.0	2868.0
65.0	2814.0
66.0	2967.0
67.0	3003.0
68.0	3089.0
69.0	3148.0
70.0	3202.0
71.0	3037.0
72.0	3177.0
73.0	3269.0
74.0	3346.0
75.0	3243.0
76.0	3300.0
77.0	3512.0
78.0	3427.0
79.0	3335.0
80.0	3419.0
81.0	3456.0
82.0	3620.0
83.0	3867.0
84.0	3570.0
85.0	3552.0
86.0	3715.0
87.0	3982.0
88.0	4166.0
89.0	3902.0
90.0	4006.0
91.0	4032.0
92.0	4368.0
93.0	4114.0
94.0	4161.0
95.0	4186.0
96.0	4531.0
97.0	4585.0
98.0	4622.0
99.0	4930.0
100.0	4770.0
101.0	4933.0
102.0	5184.0
103.0	5041.0
104.0	5201.0
105.0	5357.0
106.0	5355.0
107.0	5463.0
108.0	5354.0
109.0	5619.0
110.0	5568.0
111.0	5645.0
112.0	5782.0
113.0	6034.0
114.0	6071.0
115.0	6335.0
116.0	6904.0
117.0	7832.0
118.0	15592.0
119.0	16400.0
120.0	16938.0
121.0	17547.0
122.0	17600.0
123.0	18077.0
124.0	18191.0
125.0	18557.0
126.0	18592.0
127.0	19101.0
128.0	19740.0
129.0	20199.0
130.0	20656.0
131.0	21249.0
132.0	21769.0
133.0	22082.0
134.0	22229.0
135.0	22606.0
136.0	23053.0
137.0	23795.0
138.0	23909.0
139.0	24534.0
140.0	25424.0
141.0	25753.0
142.0	25913.0
143.0	26598.0
144.0	26467.0
145.0	27057.0
146.0	26980.0
147.0	27372.0
148.0	27843.0
149.0	28160.0
150.0	28474.0
151.0	28936.0
152.0	29049.0
153.0	29332.0
154.0	29369.0
155.0	29555.0
156.0	30188.0
157.0	30418.0
158.0	29759.0
159.0	30451.0
160.0	30465.0
161.0	31269.0
162.0	31238.0
163.0	31086.0
164.0	31425.0
165.0	31577.0
166.0	31684.0
167.0	32067.0
168.0	31794.0
169.0	32136.0
170.0	32207.0
171.0	32453.0
172.0	32591.0
173.0	32816.0
174.0	32567.0
175.0	32819.0
176.0	32833.0
177.0	32934.0
178.0	32762.0
179.0	32990.0
180.0	32376.0
181.0	32524.0
182.0	32723.0
183.0	32646.0
184.0	32777.0
185.0	32817.0
186.0	32745.0
187.0	32740.0
188.0	32737.0
189.0	32830.0
190.0	32543.0
191.0	32643.0
192.0	32372.0
193.0	32505.0
194.0	32117.0
195.0	32165.0
196.0	32254.0
197.0	32336.0
198.0	31837.0
199.0	32172.0
200.0	32056.0
201.0	31726.0
202.0	31716.0
203.0	32115.0
204.0	31526.0
205.0	31373.0
206.0	31548.0
207.0	31122.0
208.0	31325.0
209.0	31264.0
210.0	31080.0
211.0	30702.0
212.0	30675.0
213.0	30523.0
214.0	30626.0
215.0	30876.0
216.0	30559.0
217.0	30342.0
218.0	30291.0
219.0	30260.0
220.0	30514.0
221.0	30033.0
222.0	30036.0
223.0	30010.0
224.0	29770.0
225.0	30106.0
226.0	29634.0
227.0	29699.0
228.0	29418.0
229.0	29544.0
230.0	29151.0
231.0	29429.0
232.0	29285.0
233.0	29158.0
234.0	28783.0
235.0	28441.0
236.0	28710.0
237.0	28615.0
238.0	28295.0
239.0	28600.0
240.0	28464.0
241.0	28440.0
242.0	28030.0
243.0	27994.0
244.0	27877.0
245.0	27677.0
246.0	27743.0
247.0	27660.0
248.0	27726.0
249.0	27475.0
250.0	27396.0
251.0	27516.0
252.0	27511.0
253.0	27264.0
254.0	27191.0
255.0	27104.0
256.0	27022.0
257.0	27272.0
258.0	27263.0
259.0	26991.0
260.0	26859.0
261.0	26987.0
262.0	26750.0
263.0	27540.0
264.0	27314.0
265.0	27483.0
266.0	28105.0
267.0	28125.0
268.0	27956.0
269.0	28111.0
270.0	27971.0
271.0	27883.0
272.0	27598.0
273.0	27661.0
274.0	27862.0
275.0	27622.0
276.0	27673.0
277.0	27636.0
278.0	27416.0
279.0	27100.0
280.0	27357.0
281.0	27538.0
