#GC Content (%)	Sample
1.0	1.2797149818792357E-6
2.0	5.484492779482439E-7
3.0	5.484492779482439E-7
4.0	5.484492779482439E-7
5.0	9.140821299137399E-7
6.0	2.3766135377757235E-6
7.0	1.2797149818792357E-6
8.0	2.925062815723967E-6
9.0	6.215758483413432E-6
10.0	1.2797149818792356E-5
11.0	1.992699043211953E-5
12.0	4.314467653192852E-5
13.0	6.617954620575477E-5
14.0	1.2157292327852741E-4
15.0	2.0603411208255698E-4
16.0	3.232194411374984E-4
17.0	5.288879203680899E-4
18.0	8.517417286536228E-4
19.0	0.0012674662813383917
20.0	0.001843155206758065
21.0	0.002554493920256937
22.0	0.00343676599204968
23.0	0.004566571504623061
24.0	0.005807346587767972
25.0	0.008013392400101793
26.0	0.007852148312385007
27.0	0.010450518174877806
28.0	0.012258572627847183
29.0	0.01430812757953977
30.0	0.016569566768946362
31.0	0.019092250631082303
32.0	0.021840712779306937
33.0	0.024652612227347583
34.0	0.02779321560930521
35.0	0.030794695691089967
36.0	0.033959796474129285
37.0	0.037683035805693925
38.0	0.04125417187084093
39.0	0.04494669804284047
40.0	0.04875421574678316
41.0	0.05154271469229803
42.0	0.05308020083481292
43.0	0.05371091750445341
44.0	0.053178007622713686
45.0	0.05137397513111594
46.0	0.04861253301664654
47.0	0.045161872976222164
48.0	0.04077665536617399
49.0	0.03605852904441123
50.0	0.030990126450465526
51.0	0.028882070242458452
52.0	0.019621138551450392
53.0	0.017663905894879095
54.0	0.013687100180476376
55.0	0.010244849695647215
56.0	0.007452328788760738
57.0	0.005266027150433055
58.0	0.003705506138244319
59.0	0.0024914222532928898
60.0	0.00165851061651549
61.0	0.0010908656138390572
62.0	6.79711471803857E-4
63.0	4.361999923948366E-4
64.0	2.703854940284843E-4
65.0	1.661801312183179E-4
66.0	1.0457099566213184E-4
67.0	7.605163320882317E-5
68.0	4.479002436577326E-5
69.0	2.2303603969895255E-5
70.0	2.010980685810228E-5
71.0	1.2248700540844117E-5
72.0	6.21575848341343E-6
73.0	4.936043501534196E-6
74.0	3.290695667689463E-6
75.0	4.387594223585951E-6
76.0	3.6563285196549595E-7
77.0	0.0
78.0	3.6563285196549595E-7
79.0	0.0
80.0	7.312657039309919E-7
81.0	0.0
82.0	1.8281642598274797E-7
83.0	0.0
84.0	1.8281642598274797E-7
85.0	0.0
86.0	3.6563285196549595E-7
87.0	1.8281642598274797E-7
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	3.6563285196549595E-7
98.0	0.0
99.0	0.0
100.0	6.947024187344423E-6
