#Mapping quality	mapping quality
0.0	1.3740849E7
1.0	2151407.0
2.0	1963675.0
3.0	2086107.0
4.0	1863429.0
5.0	1787745.0
6.0	1848114.0
7.0	1668498.0
8.0	1637539.0
9.0	1720922.0
10.0	1611592.0
11.0	1459671.0
12.0	1545854.0
13.0	1764053.0
14.0	1381059.0
15.0	1579946.0
16.0	1511571.0
17.0	1436187.0
18.0	1515742.0
19.0	1469322.0
20.0	1896296.0
21.0	1656447.0
22.0	1553555.0
23.0	1564727.0
24.0	1697453.0
25.0	1657374.0
26.0	1712362.0
27.0	1848867.0
28.0	1613143.0
29.0	1649784.0
30.0	1968745.0
31.0	1723990.0
32.0	1737662.0
33.0	1925773.0
34.0	1768706.0
35.0	1807937.0
36.0	1908876.0
37.0	1877338.0
38.0	1843603.0
39.0	2037416.0
40.0	3330699.0
41.0	2015406.0
42.0	2132835.0
43.0	2165405.0
44.0	2201969.0
45.0	2418652.0
46.0	2455766.0
47.0	2440208.0
48.0	2714737.0
49.0	2753498.0
50.0	3105460.0
51.0	3108072.0
52.0	3317143.0
53.0	3638456.0
54.0	3927330.0
55.0	4448805.0
56.0	5084939.0
57.0	6154598.0
58.0	7939419.0
59.0	1.1465922E7
60.0	1.16227541E8
