#Duplication rate	Coverage
1.0	3.2879026E7
2.0	4714388.0
3.0	790163.0
4.0	224699.0
5.0	100500.0
6.0	60649.0
7.0	39260.0
8.0	27776.0
9.0	20094.0
10.0	15206.0
11.0	11868.0
12.0	9219.0
13.0	7377.0
14.0	5891.0
15.0	4756.0
16.0	4017.0
17.0	3334.0
18.0	2668.0
19.0	2339.0
20.0	1937.0
21.0	1635.0
22.0	1300.0
23.0	1206.0
24.0	1019.0
25.0	863.0
26.0	731.0
27.0	623.0
28.0	508.0
29.0	448.0
30.0	445.0
31.0	390.0
32.0	327.0
33.0	266.0
34.0	236.0
35.0	221.0
36.0	201.0
37.0	179.0
38.0	162.0
39.0	158.0
40.0	127.0
41.0	124.0
42.0	107.0
43.0	107.0
44.0	73.0
45.0	83.0
46.0	86.0
47.0	67.0
48.0	63.0
49.0	47.0
50.0	1186.0
