#Coverage (X)	Coverage
1.0	88.84396300172978
2.0	84.74288630859867
3.0	81.13777305486465
4.0	77.79375967001094
5.0	74.55735397101539
6.0	71.40836628480697
7.0	68.33304706743145
8.0	65.32476366558699
9.0	62.3892970081823
10.0	59.52902567949045
11.0	56.7478622782795
12.0	54.03543781617606
13.0	51.39757712540806
14.0	48.8248543259412
15.0	46.31172719283949
16.0	43.845640677641555
17.0	41.42256575648094
18.0	39.028750934144746
19.0	36.651203104608584
20.0	34.29366087941243
21.0	31.952983707787183
22.0	29.627117564812323
23.0	27.320235217073545
24.0	25.055444119717066
25.0	22.838684229230154
26.0	20.69144215525492
27.0	18.629260973638708
28.0	16.673390216099776
29.0	14.838384971197868
30.0	13.138283243955115
31.0	11.582274161691728
32.0	10.1776362443169
33.0	8.923635168165248
34.0	7.81832910568761
35.0	6.854435959667299
36.0	6.020463141968364
37.0	5.305288478385265
38.0	4.694965022632076
39.0	4.1777686372151095
40.0	3.7401504326094823
41.0	3.3684919243990663
42.0	3.053304792273309
43.0	2.7857882093798736
44.0	2.556395968068756
45.0	2.3589292448741332
46.0	2.1865622118895516
47.0	2.0347822583174775
48.0	1.8998641062185868
49.0	1.7785072016159233
50.0	1.6692728164777577
51.0	1.5703111576204378
