#Insert size (bp)	insert size
2.0	820.0
3.0	702.0
4.0	692.0
5.0	644.0
6.0	741.0
7.0	743.0
8.0	791.0
9.0	793.0
10.0	837.0
11.0	815.0
12.0	966.0
13.0	944.0
14.0	967.0
15.0	932.0
16.0	982.0
17.0	988.0
18.0	1024.0
19.0	60038.0
20.0	31953.0
21.0	14122.0
22.0	7650.0
23.0	4383.0
24.0	2914.0
25.0	2698.0
26.0	2567.0
27.0	2367.0
28.0	2166.0
29.0	2088.0
30.0	2051.0
31.0	2052.0
32.0	2554.0
33.0	2082.0
34.0	2075.0
35.0	2262.0
36.0	2160.0
37.0	2238.0
38.0	2562.0
39.0	2208.0
40.0	2207.0
41.0	2298.0
42.0	2241.0
43.0	2185.0
44.0	2441.0
45.0	2420.0
46.0	2411.0
47.0	2436.0
48.0	2437.0
49.0	2426.0
50.0	2587.0
51.0	2599.0
52.0	2659.0
53.0	2752.0
54.0	2770.0
55.0	2829.0
56.0	2779.0
57.0	3048.0
58.0	2941.0
59.0	2922.0
60.0	2838.0
61.0	2884.0
62.0	2912.0
63.0	2894.0
64.0	3044.0
65.0	3214.0
66.0	3190.0
67.0	3301.0
68.0	3234.0
69.0	3249.0
70.0	3453.0
71.0	3457.0
72.0	3473.0
73.0	3497.0
74.0	3605.0
75.0	3777.0
76.0	3810.0
77.0	3906.0
78.0	3791.0
79.0	3855.0
80.0	3854.0
81.0	4106.0
82.0	4263.0
83.0	4529.0
84.0	4114.0
85.0	4145.0
86.0	4203.0
87.0	4447.0
88.0	4482.0
89.0	4491.0
90.0	4723.0
91.0	4651.0
92.0	4775.0
93.0	4945.0
94.0	5039.0
95.0	5279.0
96.0	5515.0
97.0	5392.0
98.0	5895.0
99.0	6077.0
100.0	6169.0
101.0	6153.0
102.0	6258.0
103.0	6271.0
104.0	6519.0
105.0	6626.0
106.0	6710.0
107.0	6925.0
108.0	6948.0
109.0	7044.0
110.0	7421.0
111.0	7699.0
112.0	7546.0
113.0	7946.0
114.0	8417.0
115.0	8506.0
116.0	9567.0
117.0	10722.0
118.0	22939.0
119.0	24014.0
120.0	25023.0
121.0	25469.0
122.0	26159.0
123.0	26700.0
124.0	27347.0
125.0	27433.0
126.0	28338.0
127.0	28657.0
128.0	29750.0
129.0	30424.0
130.0	30786.0
131.0	31783.0
132.0	32729.0
133.0	32956.0
134.0	33293.0
135.0	33827.0
136.0	34466.0
137.0	35475.0
138.0	35484.0
139.0	36131.0
140.0	37820.0
141.0	38180.0
142.0	39048.0
143.0	39533.0
144.0	40169.0
145.0	40796.0
146.0	41320.0
147.0	40934.0
148.0	41239.0
149.0	42135.0
150.0	41869.0
151.0	43293.0
152.0	43465.0
153.0	44336.0
154.0	44366.0
155.0	45105.0
156.0	44909.0
157.0	45023.0
158.0	44884.0
159.0	45724.0
160.0	45035.0
161.0	46049.0
162.0	45911.0
163.0	45847.0
164.0	46211.0
165.0	46231.0
166.0	46189.0
167.0	46380.0
168.0	46439.0
169.0	46303.0
170.0	46475.0
171.0	46554.0
172.0	46352.0
173.0	46276.0
174.0	46392.0
175.0	46198.0
176.0	46087.0
177.0	46274.0
178.0	46183.0
179.0	45917.0
180.0	46038.0
181.0	45859.0
182.0	45688.0
183.0	45765.0
184.0	45492.0
185.0	45712.0
186.0	45248.0
187.0	45154.0
188.0	45320.0
189.0	45147.0
190.0	45116.0
191.0	45313.0
192.0	44582.0
193.0	44245.0
194.0	44323.0
195.0	43861.0
196.0	43716.0
197.0	43988.0
198.0	43426.0
199.0	43549.0
200.0	43272.0
201.0	42716.0
202.0	42900.0
203.0	42643.0
204.0	42837.0
205.0	43152.0
206.0	42998.0
207.0	42782.0
208.0	43270.0
209.0	43321.0
210.0	43161.0
211.0	42889.0
212.0	42620.0
213.0	42288.0
214.0	42100.0
215.0	41975.0
216.0	41737.0
217.0	41393.0
218.0	41307.0
219.0	40948.0
220.0	40808.0
221.0	40879.0
222.0	40865.0
223.0	40310.0
224.0	40117.0
225.0	39946.0
226.0	39798.0
227.0	39209.0
228.0	38862.0
229.0	39249.0
230.0	39337.0
231.0	38535.0
232.0	38618.0
233.0	38575.0
234.0	38543.0
235.0	38183.0
236.0	37418.0
237.0	37652.0
238.0	37564.0
239.0	37401.0
240.0	37224.0
241.0	37116.0
242.0	37176.0
243.0	36806.0
244.0	36145.0
245.0	36824.0
246.0	36274.0
247.0	36464.0
248.0	35915.0
249.0	35850.0
250.0	35647.0
251.0	35580.0
252.0	35139.0
253.0	35389.0
254.0	35140.0
255.0	34555.0
256.0	35003.0
257.0	34761.0
258.0	34554.0
259.0	34694.0
260.0	34027.0
261.0	34364.0
262.0	33947.0
263.0	33967.0
264.0	33752.0
265.0	33428.0
266.0	33650.0
267.0	33238.0
268.0	33033.0
269.0	33245.0
270.0	33023.0
271.0	33208.0
272.0	32965.0
273.0	32800.0
274.0	32706.0
275.0	32529.0
276.0	32537.0
277.0	32281.0
278.0	32491.0
279.0	32101.0
280.0	32032.0
281.0	32414.0
282.0	32017.0
283.0	32049.0
284.0	31707.0
285.0	31816.0
286.0	31599.0
287.0	31175.0
288.0	31335.0
289.0	30985.0
290.0	31361.0
291.0	31101.0
292.0	31065.0
293.0	30583.0
294.0	30983.0
295.0	30270.0
296.0	30784.0
297.0	30410.0
298.0	30269.0
299.0	30556.0
300.0	30117.0
301.0	30470.0
302.0	30121.0
303.0	30404.0
304.0	29784.0
305.0	30184.0
306.0	29896.0
307.0	30042.0
308.0	29914.0
309.0	29457.0
310.0	29879.0
311.0	29453.0
312.0	29761.0
313.0	29522.0
314.0	29294.0
315.0	29358.0
316.0	29300.0
317.0	28850.0
318.0	28811.0
319.0	28683.0
320.0	29146.0
321.0	28769.0
322.0	29022.0
323.0	29050.0
324.0	28724.0
325.0	28488.0
326.0	28620.0
327.0	28218.0
328.0	28173.0
329.0	28340.0
330.0	28350.0
331.0	28203.0
332.0	28255.0
333.0	27959.0
334.0	27890.0
335.0	27864.0
336.0	27946.0
337.0	28133.0
338.0	27735.0
339.0	27790.0
340.0	27451.0
341.0	27643.0
342.0	27567.0
343.0	27350.0
344.0	27477.0
345.0	27442.0
346.0	27421.0
347.0	27415.0
348.0	27169.0
349.0	27361.0
350.0	27262.0
351.0	27510.0
352.0	27303.0
353.0	27232.0
354.0	26865.0
355.0	26959.0
356.0	27010.0
357.0	26696.0
358.0	27134.0
359.0	26816.0
360.0	26843.0
361.0	26968.0
362.0	26625.0
363.0	26815.0
