#GC Content (%)	Sample
1.0	8.234105500300133E-7
2.0	1.0292631875375165E-6
3.0	1.0292631875375165E-6
4.0	6.1755791252251E-7
5.0	1.8526737375675298E-6
6.0	1.0292631875375165E-6
7.0	3.08778956261255E-6
8.0	3.0877895626125496E-6
9.0	5.352168575195087E-6
10.0	1.23511582504502E-5
11.0	1.6262358363092766E-5
12.0	3.828859057639562E-5
13.0	7.307768631516368E-5
14.0	1.23099877229487E-4
15.0	2.0605849014501088E-4
16.0	3.3348127276215537E-4
17.0	5.813278483211894E-4
18.0	8.472894559808838E-4
19.0	0.0013351602068736666
20.0	0.0019255455712451862
21.0	0.0026929642038731588
22.0	0.003677763221709055
23.0	0.004859151508364617
24.0	0.006089326870109456
25.0	0.008507683655547604
26.0	0.008429253800657246
27.0	0.011071784108341066
28.0	0.01305435086017583
29.0	0.015228154712255068
30.0	0.01765906850858117
31.0	0.020260222436125984
32.0	0.023360774862264
33.0	0.026538727880104838
34.0	0.029666247001756338
35.0	0.032961536022976454
36.0	0.0366475333501858
37.0	0.040474539734087794
38.0	0.04422661575793706
39.0	0.04812772909134176
40.0	0.051051454101860835
41.0	0.052988321568168927
42.0	0.0534181418752846
43.0	0.0529905859471815
44.0	0.0516653066669082
45.0	0.04916954928976723
46.0	0.04584564675193358
47.0	0.04193362322874098
48.0	0.0378573293008174
49.0	0.03311818988011966
50.0	0.02871685463757173
51.0	0.02631496606313418
52.0	0.017749849521721983
53.0	0.01600854206104601
54.0	0.012319456944274044
55.0	0.009157766284796299
56.0	0.00662166179070386
57.0	0.004682118240108163
58.0	0.00324609024085582
59.0	0.00216762827295401
60.0	0.001437263115077388
61.0	9.067808682205522E-4
62.0	5.91826332834072E-4
63.0	3.740342423511336E-4
64.0	2.1635112202038603E-4
65.0	1.3977394086759476E-4
66.0	8.62522551156439E-5
67.0	6.566699136489357E-5
68.0	3.4789095738768064E-5
69.0	2.4908169138407906E-5
70.0	1.708576891312278E-5
71.0	9.469221325345153E-6
72.0	6.175579125225099E-6
73.0	3.087789562612549E-6
74.0	2.058526375075033E-6
75.0	4.117052750150066E-6
76.0	6.1755791252251E-7
77.0	2.0585263750750333E-7
78.0	2.0585263750750333E-7
79.0	0.0
80.0	8.234105500300133E-7
81.0	0.0
82.0	2.0585263750750333E-7
83.0	0.0
84.0	8.234105500300133E-7
85.0	0.0
86.0	6.1755791252251E-7
87.0	0.0
88.0	2.0585263750750333E-7
89.0	2.0585263750750333E-7
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	4.1170527501500666E-7
98.0	6.1755791252251E-7
99.0	2.0585263750750333E-7
100.0	8.851663412822643E-6
