#Mapping quality	mapping quality
0.0	1.3485283E7
1.0	1992106.0
2.0	1827897.0
3.0	1962623.0
4.0	1752779.0
5.0	1670179.0
6.0	1732936.0
7.0	1575062.0
8.0	1563092.0
9.0	1646452.0
10.0	1548889.0
11.0	1371419.0
12.0	1452723.0
13.0	1684320.0
14.0	1287002.0
15.0	1481742.0
16.0	1430727.0
17.0	1343062.0
18.0	1403718.0
19.0	1356314.0
20.0	1840381.0
21.0	1531913.0
22.0	1423465.0
23.0	1429285.0
24.0	1573943.0
25.0	1515816.0
26.0	1586547.0
27.0	1705400.0
28.0	1475308.0
29.0	1509372.0
30.0	1861683.0
31.0	1600517.0
32.0	1595872.0
33.0	1815402.0
34.0	1634420.0
35.0	1683671.0
36.0	1789253.0
37.0	1769753.0
38.0	1752420.0
39.0	1937749.0
40.0	3333775.0
41.0	1939000.0
42.0	2073418.0
43.0	2110874.0
44.0	2148163.0
45.0	2393317.0
46.0	2446096.0
47.0	2425316.0
48.0	2710943.0
49.0	2762745.0
50.0	3154794.0
51.0	3147639.0
52.0	3366267.0
53.0	3702258.0
54.0	3998900.0
55.0	4531481.0
56.0	5192950.0
57.0	6291311.0
58.0	7836337.0
59.0	1.057195E7
60.0	1.2045168E8
